Ref_Date,GEO,SUP,TYP,Vector,Coordinate,Value
1971,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,34392.3
1972,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,30402.6
1973,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,26107.0
1974,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,23392.5
1975,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,25118.1
1976,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,31565.9
1977,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,33175.8
1978,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,33251.6
1979,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,32106.7
1980,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,30012.3
1981,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,33312.4
1982,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,36427.6
1983,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,36437.5
1984,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,30377.6
1985,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,31850.2
1986,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,39927.8
1987,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,38659.5
1988,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,23850.3
1989,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,29853.4
1990,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,38540.9
1991,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,42252.8
1992,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,39966.1
1993,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,39448.3
1994,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,34039.8
1995,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,30689.2
1996,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,36646.8
1997,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,33377.9
1998,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,30171.1
1999,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,34399.2
2000,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,34294.9
2001,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,30393.5
2002,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,22924.7
2003,Canada,"Supplies, total","Wheat (x 1,000)",v383218,1.1.2,29294.7
1978,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,29195.6
1979,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,27971.2
1980,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,26233.4
1981,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,29170.8
1982,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,32073.5
1983,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,32643.5
1984,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,27503.9
1985,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,29366.6
1986,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,35495.3
1987,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,33025.7
1988,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,20316.7
1989,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,24867.8
1990,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,32982.0
1991,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,36100.4
1992,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,34621.9
1993,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,34025.1
