Ref_Date,GEO,FRUIT,CONTAINER,Vector,Coordinate,Value
1970/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,3039.0
1970/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2439.0
1970/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2334.0
1970/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2057.0
1970/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1567.0
1970/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1414.0
1970/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2007.0
1970/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2971.0
1970/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2913.0
1970/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2651.0
1970/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2490.0
1970/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2573.0
1971/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2081.0
1971/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1952.0
1971/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1789.0
1971/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1468.0
1971/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1222.0
1971/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,973.0
1971/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1246.0
1971/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2741.0
1971/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2473.0
1971/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2423.0
1971/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2657.0
1971/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2480.0
1972/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2297.0
1972/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2167.0
1972/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1901.0
1972/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1503.0
1972/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1222.0
1972/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,996.0
1972/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1457.0
1972/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2607.0
