Ref_Date,GEO,VEGETABLE,HOLDING,Vector,Coordinate,Value
1970/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8161.0
1970/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6756.0
1970/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5964.0
1970/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5675.0
1970/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4629.0
1970/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4420.0
1970/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4755.0
1970/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6440.0
1970/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7801.0
1970/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8287.0
1970/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7971.0
1970/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9704.0
1971/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6764.0
1971/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6292.0
1971/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5861.0
1971/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5372.0
1971/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4485.0
1971/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4226.0
1971/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,3993.0
