Ref_Date,GEO,VALUE,PRODUCE,PROCESS,Vector,Coordinate,Value
1971,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,0.0
1972,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,80.0
1973,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,80.0
1974,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,90.0
1975,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,80.0
1976,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,90.0
1977,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,100.0
1978,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,100.0
1979,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,110.0
1980,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,120.0
1981,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,136.0
1982,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,125.0
1983,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,63.0
1984,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,75.0
1985,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,90.0
1986,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,102.0
1987,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,105.0
1988,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,110.0
1989,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,120.0
1990,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,150.0
1991,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,166.0
1992,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,170.0
1993,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,180.0
1994,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,x
1995,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,x
1996,Newfoundland and Labrador,Area planted,Carrots,Fresh,v381319,1.1.5.1,185.0
1992,Newfoundland and Labrador,Average yield per acre (pounds),Beans,Processed,v73008,1.2.1.2,x
1992,Newfoundland and Labrador,Average yield per acre (pounds),Corn,Processed,v73548,1.2.2.2,x
1992,Newfoundland and Labrador,Average yield per acre (pounds),Tomatoes,Processed,v74129,1.2.3.2,x
1992,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381161,1.2.4.2,x
1971,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,0.0
1972,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,9500.0
1973,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,7900.0
1974,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,5800.0
1975,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,6900.0
1976,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,8800.0
1977,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,8200.0
1978,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,7300.0
1979,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,11500.0
1980,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,9900.0
1981,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,10000.0
1982,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,9000.0
1983,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,9900.0
1984,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,11700.0
1985,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,9000.0
1986,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,8700.0
1987,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,12800.0
1988,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,11100.0
1989,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,16200.0
1990,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,9400.0
1991,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,14000.0
1992,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,7700.0
1993,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,10400.0
1994,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,x
1995,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381328,1.2.5.1,x
1992,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381269,1.2.5.2,x
1993,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381269,1.2.5.2,x
1994,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381269,1.2.5.2,x
1995,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381269,1.2.5.2,x
1992,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Brussels sprouts,Processed,v381383,1.2.6.2,x
1992,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Asparagus,Processed,v381443,1.2.7.2,x
1992,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Broccoli,Processed,v381503,1.2.8.2,x
1993,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Broccoli,Processed,v381503,1.2.8.2,0.0
1994,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Broccoli,Processed,v381503,1.2.8.2,0.0
1995,Newfoundland and Labrador,"Average yield per acre (pounds x 1,000)",Broccoli,Processed,v381503,1.2.8.2,0.0
1992,Newfoundland and Labrador,Total production (tons),Beans,Processed,v73018,1.3.1.2,x
1992,Newfoundland and Labrador,Total production (tons),Corn,Processed,v73558,1.3.2.2,x
1992,Newfoundland and Labrador,Total production (tons),Tomatoes,Processed,v74139,1.3.3.2,x
1992,Newfoundland and Labrador,Total production (tons),Cucumbers,Processed,v381171,1.3.4.2,x
1971,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,0.0
1972,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,380.0
1973,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,316.0
1974,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,261.0
1975,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,276.0
1976,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,396.0
1977,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,410.0
1978,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,365.0
1979,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,633.0
1980,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,594.0
1981,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,680.0
1982,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,563.0
1983,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,311.0
1984,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,440.0
1985,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,406.0
1986,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,414.0
1987,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,640.0
1988,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,556.0
1989,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,972.0
1990,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,658.0
1991,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,980.0
1992,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,462.0
1993,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,910.0
1994,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,x
1995,Newfoundland and Labrador,Total production (tons),Carrots,Fresh,v381337,1.3.5.1,x
1992,Newfoundland and Labrador,Total production (tons),Carrots,Processed,v381279,1.3.5.2,x
1993,Newfoundland and Labrador,Total production (tons),Carrots,Processed,v381279,1.3.5.2,x
1994,Newfoundland and Labrador,Total production (tons),Carrots,Processed,v381279,1.3.5.2,x
1995,Newfoundland and Labrador,Total production (tons),Carrots,Processed,v381279,1.3.5.2,x
1992,Newfoundland and Labrador,Total production (tons),Brussels sprouts,Processed,v381393,1.3.6.2,x
1992,Newfoundland and Labrador,Total production (tons),Asparagus,Processed,v381453,1.3.7.2,x
1992,Newfoundland and Labrador,Total production (tons),Broccoli,Processed,v381513,1.3.8.2,x
1993,Newfoundland and Labrador,Total production (tons),Broccoli,Processed,v381513,1.3.8.2,0.0
1994,Newfoundland and Labrador,Total production (tons),Broccoli,Processed,v381513,1.3.8.2,0.0
1995,Newfoundland and Labrador,Total production (tons),Broccoli,Processed,v381513,1.3.8.2,0.0
1992,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Beans,Processed,v73028,1.4.1.2,x
1992,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Corn,Processed,v73568,1.4.2.2,x
1992,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Tomatoes,Processed,v74149,1.4.3.2,x
1992,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Cucumbers,Processed,v381181,1.4.4.2,x
1971,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,0.0
1972,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,58.0
1973,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,66.0
1974,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,63.0
1975,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,60.0
1976,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,86.0
1977,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,139.0
1978,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,104.0
1979,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,224.0
1980,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,238.0
1981,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,258.0
1982,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,225.0
1983,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,124.0
1984,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,158.0
1985,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,151.0
1986,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,219.0
1987,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,300.0
1988,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,270.0
1989,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,455.0
1990,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,313.0
1991,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,583.0
1992,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,233.0
1993,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,508.0
1994,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,x
1995,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Fresh,v381346,1.4.5.1,x
