Ref_Date,GEO,PRODUCTION,FRUIT,UOFM,PROCESS,Vector,Coordinate,Value
1940,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,768.0
1941,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,821.0
1942,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1086.0
1943,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,336.0
1944,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,834.0
1945,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,613.0
1946,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,681.0
1947,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,437.0
1948,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,430.0
1949,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,367.0
1950,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,304.0
1951,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,399.0
1952,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1626.0
1953,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1534.0
1954,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1015.0
1955,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1096.0
1956,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,673.0
1957,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1065.0
1958,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1490.0
1959,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1226.0
1960,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,951.0
1961,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1282.0
1962,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,781.0
1963,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1030.0
1964,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1223.0
1965,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,805.0
1966,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,983.0
1967,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,756.0
1968,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,977.0
1969,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1180.0
1970,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1312.0
1971,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1453.0
1972,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,928.0
1973,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1016.0
1974,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1219.0
1975,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1567.0
1976,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1194.0
1977,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1038.0
1978,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1072.0
1979,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,904.0
1980,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,1097.0
1981,Ontario,Total production,Peaches,Bushels,"Fresh (x 1,000)",v380637,1.1.1.1.1,605.0
1940,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,347.0
1941,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,479.0
1942,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,534.0
1943,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,104.0
1944,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,340.0
1945,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,297.0
1946,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,795.0
1947,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,486.0
1948,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,600.0
1949,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,871.0
1950,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,835.0
1951,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,949.0
1952,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,747.0
1953,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,816.0
1954,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,1139.0
1955,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,1274.0
1956,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,694.0
1957,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,1201.0
1958,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,1098.0
1959,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,917.0
1960,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,822.0
1961,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,1262.0
1962,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,852.0
1963,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,911.0
1964,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,922.0
1965,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,721.0
1966,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,617.0
1967,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,387.0
1968,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,581.0
1969,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,480.0
1970,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,483.0
1971,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,573.0
1972,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,335.0
1973,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,402.0
1974,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,463.0
1975,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,397.0
1976,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,346.0
1977,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,249.0
1978,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,188.0
1979,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,168.0
1980,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,197.0
1981,Ontario,Total production,Peaches,Bushels,"Processed (x 1,000)",v380645,1.1.1.1.2,100.0
1940,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,19208.0
1941,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,20521.0
1942,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,27139.0
