Ref_Date,GEO,TYP,GRA,Vector,Coordinate,Value
1980/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5777.0
1980/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2006.0
1980/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,..
1981/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6987.0
1981/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3203.0
1981/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,11704.0
1982/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,8746.0
1982/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,4131.0
1982/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,12720.0
1983/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,10040.0
1983/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5129.0
1983/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,9204.0
1984/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6811.0
1984/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,1971.0
1984/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,7600.0
1985/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,4997.0
1985/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2156.0
1985/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,10398.0
1986/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,7335.0
1986/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3309.0
1986/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,10917.0
1987/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,7256.0
