Ref_Date,GEO,WHEAT,Vector,Coordinate,Value
1995/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,256.000
1995/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,233.000
1995/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,236.000
1995/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,248.000
1995/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,215.000
1996/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,199.000
1996/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,236.000
1996/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,210.000
1996/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,204.000
1996/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,240.000
1996/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,229.000
1996/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,215.000
1996/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,258.000
1996/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,245.000
1996/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,249.000
1996/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,248.000
1996/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,219.000
1997/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,208.000
1997/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,232.000
1997/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,223.000
1997/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,223.000
1997/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,234.000
1997/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,241.000
1997/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,242.000
1997/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,242.000
1997/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,249.000
1997/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,261.000
1997/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,254.000
1997/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,236.000
1998/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,217.000
1998/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,231.000
1998/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,225.000
1998/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,225.000
1998/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,240.000
1998/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,241.000
1998/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,266.000
1998/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,259.000
1998/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,259.000
1998/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,258.000
1998/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,268.000
1998/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,250.000
1999/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,229.000
1999/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,241.000
1999/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,252.000
1999/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,234.000
1999/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,288.000
1999/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,256.000
1999/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,246.000
1999/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,270.000
1999/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,264.000
1999/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,261.000
1999/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,273.000
1999/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,256.000
2000/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,221.000
2000/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,244.000
2000/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,249.000
2000/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,231.000
2000/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,256.000
2000/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,248.000
2000/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,246.000
2000/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,273.000
2000/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,268.000
2000/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,267.000
2000/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,283.000
2000/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,250.000
2001/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,232.000
2001/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,259.000
2001/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,248.000
2001/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,239.000
2001/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,262.000
2001/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,260.000
2001/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,248.000
2001/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,272.000
2001/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,275.000
2001/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,276.000
2001/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,288.000
2001/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,247.000
2002/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,253.000
2002/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,255.000
2002/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,244.000
2002/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,252.000
2002/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,268.000
2002/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,238.000
2002/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,275.000
2002/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,285.000
2002/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,277.000
2002/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,294.000
2002/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,305.000
2002/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,265.000
2003/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,259.000
2003/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,261.000
2003/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,259.000
2003/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,262.000
2003/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,258.000
2003/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,245.000
2003/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,246.000
2003/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,278.000
2003/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,282.000
2003/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,284.000
2003/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,274.000
2003/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,246.000
2004/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,243.000
2004/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,260.000
