Ref_Date,GEO,HARVEST,POTATO,Vector,Coordinate,Value
2006,United States,Total yearly harvest,"Seeded area, potatoes (acres)",v41902076,1.1.1,1139400.0
2007,United States,Total yearly harvest,"Seeded area, potatoes (acres)",v41902076,1.1.1,1141900.0
2008,United States,Total yearly harvest,"Seeded area, potatoes (acres)",v41902076,1.1.1,1059600.0
2009,United States,Total yearly harvest,"Seeded area, potatoes (acres)",v41902076,1.1.1,1071200.0
2010,United States,Total yearly harvest,"Seeded area, potatoes (acres)",v41902076,1.1.1,1026700.0
2011,United States,Total yearly harvest,"Seeded area, potatoes (acres)",v41902076,1.1.1,1100700.0
2012,United States,Total yearly harvest,"Seeded area, potatoes (acres)",v41902076,1.1.1,1154800.0
2013,United States,Total yearly harvest,"Seeded area, potatoes (acres)",v41902076,1.1.1,1063900.0
2014,United States,Total yearly harvest,"Seeded area, potatoes (acres)",v41902076,1.1.1,1062600.0
2015,United States,Total yearly harvest,"Seeded area, potatoes (acres)",v41902076,1.1.1,1073500.0
2006,United States,Total yearly harvest,"Harvested area, potatoes (acres)",v41902077,1.1.2,1120200.0
2007,United States,Total yearly harvest,"Harvested area, potatoes (acres)",v41902077,1.1.2,1122200.0
2008,United States,Total yearly harvest,"Harvested area, potatoes (acres)",v41902077,1.1.2,1046900.0
2009,United States,Total yearly harvest,"Harvested area, potatoes (acres)",v41902077,1.1.2,1044000.0
2010,United States,Total yearly harvest,"Harvested area, potatoes (acres)",v41902077,1.1.2,1008900.0
2011,United States,Total yearly harvest,"Harvested area, potatoes (acres)",v41902077,1.1.2,1078500.0
2012,United States,Total yearly harvest,"Harvested area, potatoes (acres)",v41902077,1.1.2,1138500.0
2013,United States,Total yearly harvest,"Harvested area, potatoes (acres)",v41902077,1.1.2,1050900.0
2014,United States,Total yearly harvest,"Harvested area, potatoes (acres)",v41902077,1.1.2,1051100.0
2015,United States,Total yearly harvest,"Harvested area, potatoes (acres)",v41902077,1.1.2,1063100.0
2006,United States,Total yearly harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902078,1.1.3,393.0
2007,United States,Total yearly harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902078,1.1.3,396.0
2008,United States,Total yearly harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902078,1.1.3,395.0
2009,United States,Total yearly harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902078,1.1.3,414.0
2010,United States,Total yearly harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902078,1.1.3,401.0
2011,United States,Total yearly harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902078,1.1.3,399.0
2012,United States,Total yearly harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902078,1.1.3,408.0
2013,United States,Total yearly harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902078,1.1.3,414.0
2014,United States,Total yearly harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902078,1.1.3,421.0
2015,United States,Total yearly harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902078,1.1.3,419.0
2006,United States,Total yearly harvest,"Production, potatoes (hundredweight)",v41902079,1.1.4,440698000.0
2007,United States,Total yearly harvest,"Production, potatoes (hundredweight)",v41902079,1.1.4,444875000.0
2008,United States,Total yearly harvest,"Production, potatoes (hundredweight)",v41902079,1.1.4,415055000.0
2009,United States,Total yearly harvest,"Production, potatoes (hundredweight)",v41902079,1.1.4,432601000.0
2010,United States,Total yearly harvest,"Production, potatoes (hundredweight)",v41902079,1.1.4,404549000.0
2011,United States,Total yearly harvest,"Production, potatoes (hundredweight)",v41902079,1.1.4,430037000.0
