Ref_Date,GEO,PROD,AREA,EST,Vector,Coordinate,Value
2007,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220962,1.1.1.1,0.00000000
2008,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220962,1.1.1.1,695.00000000
2009,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220962,1.1.1.1,695.00000000
2010,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220962,1.1.1.1,720.00000000
2011,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220962,1.1.1.1,735.00000000
2012,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220962,1.1.1.1,745.00000000
2013,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220962,1.1.1.1,735.00000000
2014,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220962,1.1.1.1,680.00000000
2015,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220962,1.1.1.1,658.00000000
2007,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220968,1.1.2.2,0.00000000
2008,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220968,1.1.2.2,118121104.00000000
2009,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220968,1.1.2.2,122791165.00000000
2010,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220968,1.1.2.2,127136293.00000000
2011,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220968,1.1.2.2,132267339.00000000
2012,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220968,1.1.2.2,138303269.00000000
2013,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220968,1.1.2.2,144705922.00000000
2014,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220968,1.1.2.2,145936565.00000000
2015,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220968,1.1.2.2,145800641.00000000
2007,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220974,1.1.2.3,0.00000000
2008,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220974,1.1.2.3,10973805.00000000
2009,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220974,1.1.2.3,11407668.00000000
2010,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220974,1.1.2.3,11811343.00000000
2011,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220974,1.1.2.3,12288033.00000000
2012,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220974,1.1.2.3,12848789.00000000
2013,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220974,1.1.2.3,13443614.00000000
2014,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220974,1.1.2.3,13557945.00000000
2015,Canada,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220974,1.1.2.3,13545317.00000000
2007,Canada,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220980,1.1.3.2,0.00000000
2008,Canada,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220980,1.1.3.2,46222387.00000000
2009,Canada,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220980,1.1.3.2,49779290.00000000
2010,Canada,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220980,1.1.3.2,51917330.00000000
