Ref_Date,GEO,SALES,Vector,Coordinate,Value
2007,Canada,Total sales,v52222434,1.1,644808072.00000000
2008,Canada,Total sales,v52222434,1.1,701405365.00000000
2009,Canada,Total sales,v52222434,1.1,704801563.00000000
2010,Canada,Total sales,v52222434,1.1,718273171.00000000
2011,Canada,Total sales,v52222434,1.1,707652125.00000000
2012,Canada,Total sales,v52222434,1.1,692413079.00000000
2013,Canada,Total sales,v52222434,1.1,680417284.00000000
2014,Canada,Total sales,v52222434,1.1,688336377.00000000
2015,Canada,Total sales,v52222434,1.1,712641262.00000000
2007,Canada,Direct sales to the public,v52222380,1.2,94972352.00000000
2008,Canada,Direct sales to the public,v52222380,1.2,78966045.00000000
2009,Canada,Direct sales to the public,v52222380,1.2,82098806.00000000
2010,Canada,Direct sales to the public,v52222380,1.2,79948687.00000000
2011,Canada,Direct sales to the public,v52222380,1.2,85403905.00000000
2012,Canada,Direct sales to the public,v52222380,1.2,95490577.00000000
2013,Canada,Direct sales to the public,v52222380,1.2,85172695.00000000
2014,Canada,Direct sales to the public,v52222380,1.2,74812817.00000000
2015,Canada,Direct sales to the public,v52222380,1.2,74288492.00000000
2007,Canada,Fruit growers,v52222386,1.3,19797995.00000000
2008,Canada,Fruit growers,v52222386,1.3,24536823.00000000
2009,Canada,Fruit growers,v52222386,1.3,21444515.00000000
2010,Canada,Fruit growers,v52222386,1.3,25426913.00000000
2011,Canada,Fruit growers,v52222386,1.3,27871620.00000000
2012,Canada,Fruit growers,v52222386,1.3,F
2013,Canada,Fruit growers,v52222386,1.3,29413782.00000000
2014,Canada,Fruit growers,v52222386,1.3,31344390.00000000
2015,Canada,Fruit growers,v52222386,1.3,32423624.00000000
2007,Canada,Landscape contractors,v52222392,1.4,162350747.00000000
2008,Canada,Landscape contractors,v52222392,1.4,182223575.00000000
2009,Canada,Landscape contractors,v52222392,1.4,167871799.00000000
2010,Canada,Landscape contractors,v52222392,1.4,175682638.00000000
2011,Canada,Landscape contractors,v52222392,1.4,172275595.00000000
2012,Canada,Landscape contractors,v52222392,1.4,168865455.00000000
2013,Canada,Landscape contractors,v52222392,1.4,154146667.00000000
2014,Canada,Landscape contractors,v52222392,1.4,158982365.00000000
2015,Canada,Landscape contractors,v52222392,1.4,160011080.00000000
2007,Canada,Garden centres,v52222398,1.5,135527466.00000000
2008,Canada,Garden centres,v52222398,1.5,154725192.00000000
2009,Canada,Garden centres,v52222398,1.5,163807307.00000000
2010,Canada,Garden centres,v52222398,1.5,157977430.00000000
2011,Canada,Garden centres,v52222398,1.5,155635535.00000000
2012,Canada,Garden centres,v52222398,1.5,131409135.00000000
2013,Canada,Garden centres,v52222398,1.5,123465463.00000000
2014,Canada,Garden centres,v52222398,1.5,130807058.00000000
2015,Canada,Garden centres,v52222398,1.5,133632369.00000000
2007,Canada,Mass market chain stores,v52222404,1.6,77054677.00000000
2008,Canada,Mass market chain stores,v52222404,1.6,98090048.00000000
2009,Canada,Mass market chain stores,v52222404,1.6,90770974.00000000
2010,Canada,Mass market chain stores,v52222404,1.6,90371311.00000000
2011,Canada,Mass market chain stores,v52222404,1.6,105321895.00000000
2012,Canada,Mass market chain stores,v52222404,1.6,93654347.00000000
2013,Canada,Mass market chain stores,v52222404,1.6,95680016.00000000
2014,Canada,Mass market chain stores,v52222404,1.6,103597472.00000000
2015,Canada,Mass market chain stores,v52222404,1.6,117506092.00000000
2007,Canada,Other growers,v52222410,1.7,55287716.00000000
2008,Canada,Other growers,v52222410,1.7,58746638.00000000
2009,Canada,Other growers,v52222410,1.7,47465840.00000000
2010,Canada,Other growers,v52222410,1.7,54323540.00000000
2011,Canada,Other growers,v52222410,1.7,48697500.00000000
2012,Canada,Other growers,v52222410,1.7,50924555.00000000
2013,Canada,Other growers,v52222410,1.7,54569899.00000000
2014,Canada,Other growers,v52222410,1.7,60880636.00000000
2015,Canada,Other growers,v52222410,1.7,61785588.00000000
2007,Canada,Exported,v52222416,1.8,28791363.00000000
2008,Canada,Exported,v52222416,1.8,26737277.00000000
2009,Canada,Exported,v52222416,1.8,27280296.00000000
2010,Canada,Exported,v52222416,1.8,26065930.00000000
2011,Canada,Exported,v52222416,1.8,11529025.00000000
2012,Canada,Exported,v52222416,1.8,13460942.00000000
2013,Canada,Exported,v52222416,1.8,14932947.00000000
2014,Canada,Exported,v52222416,1.8,16509231.00000000
2015,Canada,Exported,v52222416,1.8,28060045.00000000
2007,Canada,Government and public agencies,v52222422,1.9,29945642.00000000
2008,Canada,Government and public agencies,v52222422,1.9,44383169.00000000
2009,Canada,Government and public agencies,v52222422,1.9,53158330.00000000
2010,Canada,Government and public agencies,v52222422,1.9,48341731.00000000
2011,Canada,Government and public agencies,v52222422,1.9,40387850.00000000
2012,Canada,Government and public agencies,v52222422,1.9,51861725.00000000
2013,Canada,Government and public agencies,v52222422,1.9,56324810.00000000
2014,Canada,Government and public agencies,v52222422,1.9,49480726.00000000
2015,Canada,Government and public agencies,v52222422,1.9,52162806.00000000
2007,Canada,Other channels,v52222428,1.10,41080114.00000000
2008,Canada,Other channels,v52222428,1.10,32996598.00000000
2009,Canada,Other channels,v52222428,1.10,50903696.00000000
2010,Canada,Other channels,v52222428,1.10,60134991.00000000
2011,Canada,Other channels,v52222428,1.10,60529215.00000000
2012,Canada,Other channels,v52222428,1.10,56277968.00000000
2013,Canada,Other channels,v52222428,1.10,66711005.00000000
2014,Canada,Other channels,v52222428,1.10,61921682.00000000
2015,Canada,Other channels,v52222428,1.10,52771165.00000000
2007,Atlantic provinces,Total sales,v52222429,2.1,14559568.00000000
2008,Atlantic provinces,Total sales,v52222429,2.1,15152839.00000000
2009,Atlantic provinces,Total sales,v52222429,2.1,17588537.00000000
2010,Atlantic provinces,Total sales,v52222429,2.1,19059243.00000000
2011,Atlantic provinces,Total sales,v52222429,2.1,18872590.00000000
2012,Atlantic provinces,Total sales,v52222429,2.1,18990555.00000000
2013,Atlantic provinces,Total sales,v52222429,2.1,18016072.00000000
2014,Atlantic provinces,Total sales,v52222429,2.1,15885975.00000000
2015,Atlantic provinces,Total sales,v52222429,2.1,14504647.00000000
2007,Atlantic provinces,Direct sales to the public,v52222375,2.2,3254254.00000000
2008,Atlantic provinces,Direct sales to the public,v52222375,2.2,F
2009,Atlantic provinces,Direct sales to the public,v52222375,2.2,8440635.00000000
2010,Atlantic provinces,Direct sales to the public,v52222375,2.2,8279179.00000000
2011,Atlantic provinces,Direct sales to the public,v52222375,2.2,7432135.00000000
2012,Atlantic provinces,Direct sales to the public,v52222375,2.2,8799570.00000000
2013,Atlantic provinces,Direct sales to the public,v52222375,2.2,7354011.00000000
2014,Atlantic provinces,Direct sales to the public,v52222375,2.2,4802101.00000000
2015,Atlantic provinces,Direct sales to the public,v52222375,2.2,3874122.00000000
2007,Atlantic provinces,Fruit growers,v52222381,2.3,1622000.00000000
2008,Atlantic provinces,Fruit growers,v52222381,2.3,F
2009,Atlantic provinces,Fruit growers,v52222381,2.3,F
2010,Atlantic provinces,Fruit growers,v52222381,2.3,x
2011,Atlantic provinces,Fruit growers,v52222381,2.3,x
2012,Atlantic provinces,Fruit growers,v52222381,2.3,3102295.00000000
2013,Atlantic provinces,Fruit growers,v52222381,2.3,4331331.00000000
2014,Atlantic provinces,Fruit growers,v52222381,2.3,3717638.00000000
2015,Atlantic provinces,Fruit growers,v52222381,2.3,4146376.00000000
2007,Atlantic provinces,Landscape contractors,v52222387,2.4,2586685.00000000
2008,Atlantic provinces,Landscape contractors,v52222387,2.4,F
2009,Atlantic provinces,Landscape contractors,v52222387,2.4,F
