Ref_Date,GEO,EXP,Vector,Coordinate,Value
2007,Canada,"Nursery, total operating expenses",v52222566,1.1,0.00000000
2008,Canada,"Nursery, total operating expenses",v52222566,1.1,567776284.00000000
2009,Canada,"Nursery, total operating expenses",v52222566,1.1,628001480.00000000
2010,Canada,"Nursery, total operating expenses",v52222566,1.1,647705246.00000000
2011,Canada,"Nursery, total operating expenses",v52222566,1.1,647807570.00000000
2012,Canada,"Nursery, total operating expenses",v52222566,1.1,603355001.00000000
2013,Canada,"Nursery, total operating expenses",v52222566,1.1,594724726.00000000
2014,Canada,"Nursery, total operating expenses",v52222566,1.1,603790364.00000000
2015,Canada,"Nursery, total operating expenses",v52222566,1.1,605719780.00000000
2007,Canada,"Nursery, plant material purchases for growing on",v52222522,1.2,77441394.00000000
2008,Canada,"Nursery, plant material purchases for growing on",v52222522,1.2,74983983.00000000
2009,Canada,"Nursery, plant material purchases for growing on",v52222522,1.2,77922876.00000000
2010,Canada,"Nursery, plant material purchases for growing on",v52222522,1.2,87175294.00000000
2011,Canada,"Nursery, plant material purchases for growing on",v52222522,1.2,90477600.00000000
2012,Canada,"Nursery, plant material purchases for growing on",v52222522,1.2,75986131.00000000
2013,Canada,"Nursery, plant material purchases for growing on",v52222522,1.2,87425239.00000000
2014,Canada,"Nursery, plant material purchases for growing on",v52222522,1.2,83375004.00000000
2015,Canada,"Nursery, plant material purchases for growing on",v52222522,1.2,84631112.00000000
2007,Canada,"Nursery, plant material purchases for resale",v52222533,1.3,90746710.00000000
2008,Canada,"Nursery, plant material purchases for resale",v52222533,1.3,70005650.00000000
2009,Canada,"Nursery, plant material purchases for resale",v52222533,1.3,80205535.00000000
2010,Canada,"Nursery, plant material purchases for resale",v52222533,1.3,78751086.00000000
2011,Canada,"Nursery, plant material purchases for resale",v52222533,1.3,70725240.00000000
2012,Canada,"Nursery, plant material purchases for resale",v52222533,1.3,75066130.00000000
2013,Canada,"Nursery, plant material purchases for resale",v52222533,1.3,72604052.00000000
2014,Canada,"Nursery, plant material purchases for resale",v52222533,1.3,79869374.00000000
2015,Canada,"Nursery, plant material purchases for resale",v52222533,1.3,83534752.00000000
2007,Canada,"Nursery, gross yearly payroll",v52222544,1.4,234065560.00000000
2008,Canada,"Nursery, gross yearly payroll",v52222544,1.4,224178261.00000000
2009,Canada,"Nursery, gross yearly payroll",v52222544,1.4,233027047.00000000
2010,Canada,"Nursery, gross yearly payroll",v52222544,1.4,258430265.00000000
2011,Canada,"Nursery, gross yearly payroll",v52222544,1.4,257751810.00000000
2012,Canada,"Nursery, gross yearly payroll",v52222544,1.4,241282480.00000000
2013,Canada,"Nursery, gross yearly payroll",v52222544,1.4,227657577.00000000
2014,Canada,"Nursery, gross yearly payroll",v52222544,1.4,227245572.00000000
2015,Canada,"Nursery, gross yearly payroll",v52222544,1.4,225014592.00000000
2007,Canada,"Nursery, other operating expenses",v52222555,1.5,0.00000000
2008,Canada,"Nursery, other operating expenses",v52222555,1.5,198608390.00000000
2009,Canada,"Nursery, other operating expenses",v52222555,1.5,236846022.00000000
2010,Canada,"Nursery, other operating expenses",v52222555,1.5,223348601.00000000
2011,Canada,"Nursery, other operating expenses",v52222555,1.5,228852920.00000000
2012,Canada,"Nursery, other operating expenses",v52222555,1.5,211020260.00000000
2013,Canada,"Nursery, other operating expenses",v52222555,1.5,207037858.00000000
2014,Canada,"Nursery, other operating expenses",v52222555,1.5,213300414.00000000
2015,Canada,"Nursery, other operating expenses",v52222555,1.5,212539324.00000000
2007,Canada,"Sod, total operating expenses",v52222610,1.6,0.00000000
2008,Canada,"Sod, total operating expenses",v52222610,1.6,111993524.00000000
2009,Canada,"Sod, total operating expenses",v52222610,1.6,115867222.00000000
2010,Canada,"Sod, total operating expenses",v52222610,1.6,124585131.00000000
2011,Canada,"Sod, total operating expenses",v52222610,1.6,121407460.00000000
2012,Canada,"Sod, total operating expenses",v52222610,1.6,132488950.00000000
2013,Canada,"Sod, total operating expenses",v52222610,1.6,135730343.00000000
2014,Canada,"Sod, total operating expenses",v52222610,1.6,135791628.00000000
2015,Canada,"Sod, total operating expenses",v52222610,1.6,136835527.00000000
2007,Canada,Sod purchases for resale,v52222577,1.7,3040400.00000000
2008,Canada,Sod purchases for resale,v52222577,1.7,2026300.00000000
2009,Canada,Sod purchases for resale,v52222577,1.7,F
2010,Canada,Sod purchases for resale,v52222577,1.7,F
2011,Canada,Sod purchases for resale,v52222577,1.7,5005365.00000000
2012,Canada,Sod purchases for resale,v52222577,1.7,3661345.00000000
2013,Canada,Sod purchases for resale,v52222577,1.7,2959248.00000000
2014,Canada,Sod purchases for resale,v52222577,1.7,2605878.00000000
2015,Canada,Sod purchases for resale,v52222577,1.7,1785189.00000000
2007,Canada,"Sod, gross yearly payroll",v52222588,1.8,0.00000000
2008,Canada,"Sod, gross yearly payroll",v52222588,1.8,40060555.00000000
2009,Canada,"Sod, gross yearly payroll",v52222588,1.8,43900927.00000000
2010,Canada,"Sod, gross yearly payroll",v52222588,1.8,47928226.00000000
2011,Canada,"Sod, gross yearly payroll",v52222588,1.8,44397680.00000000
2012,Canada,"Sod, gross yearly payroll",v52222588,1.8,48836245.00000000
2013,Canada,"Sod, gross yearly payroll",v52222588,1.8,48283357.00000000
2014,Canada,"Sod, gross yearly payroll",v52222588,1.8,48973870.00000000
2015,Canada,"Sod, gross yearly payroll",v52222588,1.8,51031715.00000000
2007,Canada,"Sod, other operating expenses",v52222599,1.9,0.00000000
2008,Canada,"Sod, other operating expenses",v52222599,1.9,69906669.00000000
2009,Canada,"Sod, other operating expenses",v52222599,1.9,65898120.00000000
2010,Canada,"Sod, other operating expenses",v52222599,1.9,69753795.00000000
2011,Canada,"Sod, other operating expenses",v52222599,1.9,72004415.00000000
2012,Canada,"Sod, other operating expenses",v52222599,1.9,79991360.00000000
2013,Canada,"Sod, other operating expenses",v52222599,1.9,84487738.00000000
2014,Canada,"Sod, other operating expenses",v52222599,1.9,84211880.00000000
2015,Canada,"Sod, other operating expenses",v52222599,1.9,84018623.00000000
2007,Newfoundland and Labrador,"Nursery, total operating expenses",v52222556,2.1,0.00000000
2008,Newfoundland and Labrador,"Nursery, total operating expenses",v52222556,2.1,F
2009,Newfoundland and Labrador,"Nursery, total operating expenses",v52222556,2.1,F
2010,Newfoundland and Labrador,"Nursery, total operating expenses",v52222556,2.1,685968.00000000
2011,Newfoundland and Labrador,"Nursery, total operating expenses",v52222556,2.1,1122435.00000000
2012,Newfoundland and Labrador,"Nursery, total operating expenses",v52222556,2.1,919885.00000000
2013,Newfoundland and Labrador,"Nursery, total operating expenses",v52222556,2.1,634084.00000000
2014,Newfoundland and Labrador,"Nursery, total operating expenses",v52222556,2.1,581469.00000000
2015,Newfoundland and Labrador,"Nursery, total operating expenses",v52222556,2.1,489172.00000000
2007,Newfoundland and Labrador,"Nursery, plant material purchases for growing on",v52222512,2.2,92600.00000000
2008,Newfoundland and Labrador,"Nursery, plant material purchases for growing on",v52222512,2.2,12500.00000000
2009,Newfoundland and Labrador,"Nursery, plant material purchases for growing on",v52222512,2.2,x
2010,Newfoundland and Labrador,"Nursery, plant material purchases for growing on",v52222512,2.2,F
2011,Newfoundland and Labrador,"Nursery, plant material purchases for growing on",v52222512,2.2,69460.00000000
2012,Newfoundland and Labrador,"Nursery, plant material purchases for growing on",v52222512,2.2,129885.00000000
2013,Newfoundland and Labrador,"Nursery, plant material purchases for growing on",v52222512,2.2,161933.00000000
2014,Newfoundland and Labrador,"Nursery, plant material purchases for growing on",v52222512,2.2,x
2015,Newfoundland and Labrador,"Nursery, plant material purchases for growing on",v52222512,2.2,x
2007,Newfoundland and Labrador,"Nursery, plant material purchases for resale",v52222523,2.3,x
2008,Newfoundland and Labrador,"Nursery, plant material purchases for resale",v52222523,2.3,6750.00000000
2009,Newfoundland and Labrador,"Nursery, plant material purchases for resale",v52222523,2.3,x
2010,Newfoundland and Labrador,"Nursery, plant material purchases for resale",v52222523,2.3,103691.00000000
2011,Newfoundland and Labrador,"Nursery, plant material purchases for resale",v52222523,2.3,258060.00000000
2012,Newfoundland and Labrador,"Nursery, plant material purchases for resale",v52222523,2.3,x
2013,Newfoundland and Labrador,"Nursery, plant material purchases for resale",v52222523,2.3,x
2014,Newfoundland and Labrador,"Nursery, plant material purchases for resale",v52222523,2.3,x
2015,Newfoundland and Labrador,"Nursery, plant material purchases for resale",v52222523,2.3,x
2007,Newfoundland and Labrador,"Nursery, gross yearly payroll",v52222534,2.4,1005700.00000000
2008,Newfoundland and Labrador,"Nursery, gross yearly payroll",v52222534,2.4,F
2009,Newfoundland and Labrador,"Nursery, gross yearly payroll",v52222534,2.4,F
2010,Newfoundland and Labrador,"Nursery, gross yearly payroll",v52222534,2.4,410670.00000000
