Ref_Date,GEO,POTATO,Vector,Coordinate,Value
1998,Mexico,"Seeded area, potatoes",v52718296,1.1,163721.0
1999,Mexico,"Seeded area, potatoes",v52718296,1.1,166979.0
2000,Mexico,"Seeded area, potatoes",v52718296,1.1,172667.0
2001,Mexico,"Seeded area, potatoes",v52718296,1.1,170168.0
2002,Mexico,"Seeded area, potatoes",v52718296,1.1,157557.0
2003,Mexico,"Seeded area, potatoes",v52718296,1.1,165440.0
2004,Mexico,"Seeded area, potatoes",v52718296,1.1,167652.0
2005,Mexico,"Seeded area, potatoes",v52718296,1.1,163125.0
2006,Mexico,"Seeded area, potatoes",v52718296,1.1,152954.0
2007,Mexico,"Seeded area, potatoes",v52718296,1.1,162140.0
2008,Mexico,"Seeded area, potatoes",v52718296,1.1,150903.0
2009,Mexico,"Seeded area, potatoes",v52718296,1.1,133783.0
2010,Mexico,"Seeded area, potatoes",v52718296,1.1,137500.0
2011,Mexico,"Seeded area, potatoes",v52718296,1.1,170633.0
2012,Mexico,"Seeded area, potatoes",v52718296,1.1,170321.0
2013,Mexico,"Seeded area, potatoes",v52718296,1.1,153699.0
2014,Mexico,"Seeded area, potatoes",v52718296,1.1,151854.0
1998,Mexico,"Harvested area, potatoes",v52718297,1.2,154428.0
1999,Mexico,"Harvested area, potatoes",v52718297,1.2,163321.0
2000,Mexico,"Harvested area, potatoes",v52718297,1.2,167942.0
2001,Mexico,"Harvested area, potatoes",v52718297,1.2,168701.0
2002,Mexico,"Harvested area, potatoes",v52718297,1.2,154261.0
2003,Mexico,"Harvested area, potatoes",v52718297,1.2,161464.0
2004,Mexico,"Harvested area, potatoes",v52718297,1.2,153572.0
2005,Mexico,"Harvested area, potatoes",v52718297,1.2,155564.0
2006,Mexico,"Harvested area, potatoes",v52718297,1.2,151335.0
2007,Mexico,"Harvested area, potatoes",v52718297,1.2,159896.0
2008,Mexico,"Harvested area, potatoes",v52718297,1.2,148857.0
2009,Mexico,"Harvested area, potatoes",v52718297,1.2,133673.0
2010,Mexico,"Harvested area, potatoes",v52718297,1.2,136791.0
2011,Mexico,"Harvested area, potatoes",v52718297,1.2,134796.0
2012,Mexico,"Harvested area, potatoes",v52718297,1.2,166050.0
2013,Mexico,"Harvested area, potatoes",v52718297,1.2,150422.0
2014,Mexico,"Harvested area, potatoes",v52718297,1.2,151742.0
1998,Mexico,"Average yield, potatoes (hundredweight per harvested acres)",v52718298,1.3,182.9
1999,Mexico,"Average yield, potatoes (hundredweight per harvested acres)",v52718298,1.3,199.4
2000,Mexico,"Average yield, potatoes (hundredweight per harvested acres)",v52718298,1.3,213.6
2001,Mexico,"Average yield, potatoes (hundredweight per harvested acres)",v52718298,1.3,212.8
2002,Mexico,"Average yield, potatoes (hundredweight per harvested acres)",v52718298,1.3,211.9
2003,Mexico,"Average yield, potatoes (hundredweight per harvested acres)",v52718298,1.3,226.9
2004,Mexico,"Average yield, potatoes (hundredweight per harvested acres)",v52718298,1.3,216.3
2005,Mexico,"Average yield, potatoes (hundredweight per harvested acres)",v52718298,1.3,231.7
