Ref_Date,GEO,HARVEST,TYPOFCRP,Vector,Coordinate,Value
2015,Canada,Harvested area (acres),Barley,v98437491,1.1.1,5684800.00000000
2016,Canada,Harvested area (acres),Barley,v98437491,1.1.1,5651100.00000000
2015,Canada,Harvested area (acres),Canary seed,v98437492,1.1.2,315000.00000000
2016,Canada,Harvested area (acres),Canary seed,v98437492,1.1.2,250000.00000000
2015,Canada,Harvested area (acres),Canola,v98437493,1.1.3,20473900.00000000
2016,Canada,Harvested area (acres),Canola,v98437493,1.1.3,19649700.00000000
2015,Canada,Harvested area (acres),Corn for grain,v98437494,1.1.4,3184500.00000000
2016,Canada,Harvested area (acres),Corn for grain,v98437494,1.1.4,3217200.00000000
2015,Canada,Harvested area (acres),Flaxseed,v98437495,1.1.5,1595000.00000000
2016,Canada,Harvested area (acres),Flaxseed,v98437495,1.1.5,908000.00000000
2015,Canada,Harvested area (acres),Lentils,v98437496,1.1.6,3745000.00000000
2016,Canada,Harvested area (acres),Lentils,v98437496,1.1.6,4815000.00000000
2015,Canada,Harvested area (acres),Mixed grains,v98437497,1.1.7,113400.00000000
2016,Canada,Harvested area (acres),Mixed grains,v98437497,1.1.7,105800.00000000
2015,Canada,Harvested area (acres),Mustard seed,v98437498,1.1.8,240000.00000000
2016,Canada,Harvested area (acres),Mustard seed,v98437498,1.1.8,380000.00000000
2015,Canada,Harvested area (acres),Oats,v98437499,1.1.9,2512300.00000000
2016,Canada,Harvested area (acres),Oats,v98437499,1.1.9,2197900.00000000
2015,Canada,Harvested area (acres),"Peas, dry",v98437500,1.1.10,3602000.00000000
2016,Canada,Harvested area (acres),"Peas, dry",v98437500,1.1.10,4145000.00000000
2015,Canada,Harvested area (acres),"Rye, Fall",v98437501,1.1.11,220000.00000000
2016,Canada,Harvested area (acres),"Rye, Fall",v98437501,1.1.11,310000.00000000
2015,Canada,Harvested area (acres),Soybeans,v98437502,1.1.12,5057100.00000000
2016,Canada,Harvested area (acres),Soybeans,v98437502,1.1.12,5100600.00000000
2015,Canada,Harvested area (acres),"Wheat, durum",v98437503,1.1.13,5750000.00000000
2016,Canada,Harvested area (acres),"Wheat, durum",v98437503,1.1.13,6005000.00000000
2015,Canada,Harvested area (acres),"Wheat, spring",v98437504,1.1.14,16511700.00000000
2016,Canada,Harvested area (acres),"Wheat, spring",v98437504,1.1.14,15135300.00000000
2015,Canada,Harvested area (acres),"Wheat, winter",v98437505,1.1.15,1258500.00000000
2016,Canada,Harvested area (acres),"Wheat, winter",v98437505,1.1.15,1597100.00000000
2015,Canada,Harvested area (hectares),Barley,v98437506,1.2.1,2300600.00000000
2016,Canada,Harvested area (hectares),Barley,v98437506,1.2.1,2286900.00000000
2015,Canada,Harvested area (hectares),Canary seed,v98437507,1.2.2,127500.00000000
2016,Canada,Harvested area (hectares),Canary seed,v98437507,1.2.2,101200.00000000
2015,Canada,Harvested area (hectares),Canola,v98437508,1.2.3,8285500.00000000
2016,Canada,Harvested area (hectares),Canola,v98437508,1.2.3,7952000.00000000
2015,Canada,Harvested area (hectares),Corn for grain,v98437509,1.2.4,1288700.00000000
2016,Canada,Harvested area (hectares),Corn for grain,v98437509,1.2.4,1302000.00000000
2015,Canada,Harvested area (hectares),Flaxseed,v98437510,1.2.5,645500.00000000
2016,Canada,Harvested area (hectares),Flaxseed,v98437510,1.2.5,367500.00000000
2015,Canada,Harvested area (hectares),Lentils,v98437511,1.2.6,1515500.00000000
2016,Canada,Harvested area (hectares),Lentils,v98437511,1.2.6,1948600.00000000
2015,Canada,Harvested area (hectares),Mixed grains,v98437512,1.2.7,45900.00000000
2016,Canada,Harvested area (hectares),Mixed grains,v98437512,1.2.7,42800.00000000
2015,Canada,Harvested area (hectares),Mustard seed,v98437513,1.2.8,97100.00000000
2016,Canada,Harvested area (hectares),Mustard seed,v98437513,1.2.8,153800.00000000
2015,Canada,Harvested area (hectares),Oats,v98437514,1.2.9,1016700.00000000
2016,Canada,Harvested area (hectares),Oats,v98437514,1.2.9,889500.00000000
2015,Canada,Harvested area (hectares),"Peas, dry",v98437515,1.2.10,1457700.00000000
2016,Canada,Harvested area (hectares),"Peas, dry",v98437515,1.2.10,1677400.00000000
2015,Canada,Harvested area (hectares),"Rye, Fall",v98437516,1.2.11,89000.00000000
2016,Canada,Harvested area (hectares),"Rye, Fall",v98437516,1.2.11,125500.00000000
2015,Canada,Harvested area (hectares),Soybeans,v98437517,1.2.12,2046500.00000000
2016,Canada,Harvested area (hectares),Soybeans,v98437517,1.2.12,2064100.00000000
2015,Canada,Harvested area (hectares),"Wheat, durum",v98437518,1.2.13,2326900.00000000
2016,Canada,Harvested area (hectares),"Wheat, durum",v98437518,1.2.13,2430100.00000000
2015,Canada,Harvested area (hectares),"Wheat, spring",v98437519,1.2.14,6682100.00000000
2016,Canada,Harvested area (hectares),"Wheat, spring",v98437519,1.2.14,6125000.00000000
2015,Canada,Harvested area (hectares),"Wheat, winter",v98437520,1.2.15,509300.00000000
2016,Canada,Harvested area (hectares),"Wheat, winter",v98437520,1.2.15,646300.00000000
2015,Canada,Yield (bushels per acre),Barley,v98437521,1.3.1,57.8
2016,Canada,Yield (bushels per acre),Barley,v98437521,1.3.1,68.3
2015,Canada,Yield (bushels per acre),Canola,v98437522,1.3.3,32.6
2016,Canada,Yield (bushels per acre),Canola,v98437522,1.3.3,41.1
2015,Canada,Yield (bushels per acre),Corn for grain,v98437523,1.3.4,158.9
2016,Canada,Yield (bushels per acre),Corn for grain,v98437523,1.3.4,159.0
2015,Canada,Yield (bushels per acre),Flaxseed,v98437524,1.3.5,20.5
2016,Canada,Yield (bushels per acre),Flaxseed,v98437524,1.3.5,25.0
2015,Canada,Yield (bushels per acre),Mixed grains,v98437525,1.3.7,65.6
