Ref_Date,GEO,INCOME,Vector,Coordinate,Value
1998,Canada,Number of farm operators,v29788940,1.1,296760.0
1999,Canada,Number of farm operators,v29788940,1.1,295430.0
2000,Canada,Number of farm operators,v29788940,1.1,292100.0
2001,Canada,Number of farm operators,v29788940,1.1,293990.0
2002,Canada,Number of farm operators,v29788940,1.1,288790.0
2003,Canada,Number of farm operators,v29788940,1.1,276480.0
2004,Canada,Number of farm operators,v29788940,1.1,268330.0
2005,Canada,Number of farm operators,v29788940,1.1,270210.0
2006,Canada,Number of farm operators,v29788940,1.1,260410.0
2007,Canada,Number of farm operators,v29788940,1.1,257270.0
2008,Canada,Number of farm operators,v29788940,1.1,252660.0
2009,Canada,Number of farm operators,v29788940,1.1,249200.0
2010,Canada,Number of farm operators,v29788940,1.1,241520.0
2011,Canada,Number of farm operators,v29788940,1.1,238610.0
2012,Canada,Number of farm operators,v29788940,1.1,244970.0
2013,Canada,Number of farm operators,v29788940,1.1,244610.0
2014,Canada,Number of farm operators,v29788940,1.1,240720.0
2002,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2003,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2004,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2005,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2006,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2007,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2008,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2009,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2010,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2011,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2012,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2013,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
2014,Canada,"Number of farm operators, distribution by province (percent)",v29788941,1.2,100.0
1998,Canada,Number of farms,v29788942,1.3,229950.0
1999,Canada,Number of farms,v29788942,1.3,226340.0
2000,Canada,Number of farms,v29788942,1.3,224330.0
2001,Canada,Number of farms,v29788942,1.3,224380.0
2002,Canada,Number of farms,v29788942,1.3,218260.0
2003,Canada,Number of farms,v29788942,1.3,207265.0
2004,Canada,Number of farms,v29788942,1.3,200545.0
2005,Canada,Number of farms,v29788942,1.3,200280.0
2006,Canada,Number of farms,v29788942,1.3,191860.0
2007,Canada,Number of farms,v29788942,1.3,188770.0
2008,Canada,Number of farms,v29788942,1.3,184925.0
2009,Canada,Number of farms,v29788942,1.3,180625.0
2010,Canada,Number of farms,v29788942,1.3,173635.0
2011,Canada,Number of farms,v29788942,1.3,171855.0
2012,Canada,Number of farms,v29788942,1.3,177525.0
2013,Canada,Number of farms,v29788942,1.3,176025.0
2014,Canada,Number of farms,v29788942,1.3,171670.0
2002,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
2003,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
2004,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
2005,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
2006,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
2007,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
2008,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
2009,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
2010,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
