Ref_Date,GEO,SUP,COM,Vector,Coordinate,Value
1920,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1091.4
1921,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,933.1
1922,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,990.8
1923,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,979.4
1924,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,977.4
1925,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1050.9
1926,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1074.7
1927,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1124.2
1928,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1081.5
1929,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1064.6
1930,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,943.2
1931,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,970.1
1932,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,936.5
1933,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,996.6
1934,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1135.9
1935,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1274.7
1936,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1336.2
1937,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1397.9
1938,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1389.0
1939,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1337.2
1940,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1402.5
1941,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1515.5
1942,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1525.5
1943,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1585.6
1944,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1872.3
1945,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2400.6
1946,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2215.9
1947,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1944.1
1948,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1939.4
1949,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1843.4
1950,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1673.5
1951,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1591.8
1952,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,1719.4
1953,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2004.6
1954,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2222.3
1955,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2271.1
1956,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2420.7
1957,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2514.3
1958,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2437.6
1959,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2261.3
1960,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2471.3
1961,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2554.1
1962,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2572.0
1963,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2679.4
1964,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2965.8
1965,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3367.8
1966,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3285.1
1967,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3195.4
1968,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3334.3
1969,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3176.9
1970,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3164.6
1971,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3343.1
1972,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3490.1
1973,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3443.2
1974,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3675.8
1975,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,4237.7
1976,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,4476.3
1977,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,4374.7
1978,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3992.5
1979,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3433.8
1980,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3525.7
1981,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3691.3
1982,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3788.1
1983,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3708.8
1984,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3565.9
1985,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3603.0
1986,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3511.4
1987,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3194.5
1988,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3086.3
1989,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3121.0
1990,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2892.0
1991,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2726.1
1992,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2834.8
1993,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2685.0
1994,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2727.4
1995,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,2791.3
1996,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3143.2
1997,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3257.7
1998,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3405.5
1999,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3587.9
2000,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3496.8
2001,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3461.2
2002,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3520.7
2003,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3172.2
2004,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,4062.7
2005,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,4118.8
2006,Canada,Animals slaughtered,"Beef (x 1,000)",v62252,1.1.1,3816.4
1920,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,553.9
1921,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,511.3
1922,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,634.2
1923,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,608.8
1924,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,669.6
1925,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,705.2
1926,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,709.4
1927,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,775.9
1928,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,783.8
1929,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,774.1
1930,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,809.2
1931,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,798.9
1932,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,817.2
1933,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,910.0
1934,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,994.7
1935,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1205.7
1936,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1247.6
1937,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1478.3
1938,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1388.9
1939,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1347.7
1940,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1419.0
1941,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1307.5
1942,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1327.7
1943,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1198.9
1944,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1250.4
1945,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1418.9
1946,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1333.9
1947,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1287.2
1948,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1361.9
1949,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1285.3
1950,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1282.4
1951,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1039.5
1952,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,968.6
1953,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1165.4
1954,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1254.5
1955,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1295.0
1956,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1332.7
1957,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1358.3
1958,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1191.1
1959,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1093.5
1960,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1081.7
1961,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1058.2
1962,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1090.5
1963,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1048.9
1964,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1153.7
1965,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1302.2
1966,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1120.2
1967,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1152.2
1968,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1107.8
1969,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,903.6
1970,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,856.7
1971,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,811.0
1972,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,643.5
1973,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,510.3
1974,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,607.9
1975,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,962.8
1976,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,1003.7
1977,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,976.8
1978,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,771.5
1979,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,533.3
1980,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,531.3
1981,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,561.7
1982,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,597.7
1983,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,618.8
1984,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,651.9
1985,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,631.8
1986,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,591.6
1987,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,509.8
