Ref_Date,GEO,WOOL,Vector,Coordinate,Value
1996,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1141.3
1997,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1265.9
1998,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1376.0
1999,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1143.8
2000,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1472.5
2001,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1448.2
2002,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1528.4
2003,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1539.3
2004,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1587.1
2005,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1405.5
2006,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1255.2
2007,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1268.5
2008,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1127.1
2009,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1138.4
2010,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1180.8
2011,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1258.8
2012,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1175.3
2013,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1184.3
2014,Canada,"Quantity of wool purchased (x 1,000)",v44185035,1.1,1209.3
1996,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,56.0
1997,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,51.5
1998,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,51.5
1999,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,51.5
2000,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,51.5
2001,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,51.5
2002,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,56.5
2003,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,56.5
2004,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,56.5
2005,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,56.5
2006,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,56.5
2007,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,52.9
2008,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,52.9
2009,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,52.9
2010,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,52.9
2011,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,50.8
2012,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,50.8
2013,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,50.8
2014,Canada,"Quantity of wool used on farms (x 1,000)",v44185036,1.2,50.8
1996,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,1.08
1997,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,1.19
1998,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,0.94
1999,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,0.48
2000,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,0.53
2001,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,0.58
2002,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,0.88
2003,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,1.00
2004,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,1.15
2005,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,0.84
2006,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,0.66
2007,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,0.72
2008,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,0.66
2009,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,0.63
2010,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,0.86
2011,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,1.25
2012,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,1.23
2013,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,1.24
2014,Canada,Average price of wool paid to producer (dollars per kilogram),v44185037,1.3,1.36
1996,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1287.00
1997,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1572.00
1998,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1345.00
1999,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,579.00
2000,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,810.00
2001,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,874.00
2002,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1388.00
2003,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1592.00
2004,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1895.00
2005,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1228.00
2006,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,865.00
2007,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,955.00
2008,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,776.00
