Ref_Date,GEO,ORI,INT,Vector,Coordinate,Value
1953,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,168868.00
1954,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,154227.00
1955,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,109946.00
1956,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,164857.00
1957,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,282164.00
1958,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,124851.00
1959,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,106928.00
1960,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,104111.00
1961,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,71689.00
1962,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,74586.00
1963,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,93151.00
1964,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,112606.00
1965,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,146758.00
1966,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,194743.00
1967,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,222876.00
1968,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,183974.00
1969,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,161531.00
1970,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,147713.00
1971,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,121900.00
1972,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,122006.00
1973,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,184200.00
1974,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,218465.00
1975,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,187881.00
1976,Canada,Overseas and the United States,Total immigration,v742547,1.1.1,149429.00
1953,Canada,Overseas and the United States,Total workers,v742548,1.1.2,91133.00
1954,Canada,Overseas and the United States,Total workers,v742548,1.1.2,84376.00
1955,Canada,Overseas and the United States,Total workers,v742548,1.1.2,57987.00
1956,Canada,Overseas and the United States,Total workers,v742548,1.1.2,91039.00
1957,Canada,Overseas and the United States,Total workers,v742548,1.1.2,151511.00
1958,Canada,Overseas and the United States,Total workers,v742548,1.1.2,63078.00
1959,Canada,Overseas and the United States,Total workers,v742548,1.1.2,53551.00
1960,Canada,Overseas and the United States,Total workers,v742548,1.1.2,53573.00
1961,Canada,Overseas and the United States,Total workers,v742548,1.1.2,34809.00
1962,Canada,Overseas and the United States,Total workers,v742548,1.1.2,36748.00
1963,Canada,Overseas and the United States,Total workers,v742548,1.1.2,45866.00
1964,Canada,Overseas and the United States,Total workers,v742548,1.1.2,56190.00
1965,Canada,Overseas and the United States,Total workers,v742548,1.1.2,74195.00
1966,Canada,Overseas and the United States,Total workers,v742548,1.1.2,99210.00
1967,Canada,Overseas and the United States,Total workers,v742548,1.1.2,119539.00
1968,Canada,Overseas and the United States,Total workers,v742548,1.1.2,95446.00
1969,Canada,Overseas and the United States,Total workers,v742548,1.1.2,84349.00
1970,Canada,Overseas and the United States,Total workers,v742548,1.1.2,77723.00
1971,Canada,Overseas and the United States,Total workers,v742548,1.1.2,61282.00
1972,Canada,Overseas and the United States,Total workers,v742548,1.1.2,59432.00
1973,Canada,Overseas and the United States,Total workers,v742548,1.1.2,92228.00
1974,Canada,Overseas and the United States,Total workers,v742548,1.1.2,106083.00
1975,Canada,Overseas and the United States,Total workers,v742548,1.1.2,81189.00
1976,Canada,Overseas and the United States,Total workers,v742548,1.1.2,61461.00
1953,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,1176.00
1954,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,1633.00
1955,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,1404.00
1956,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,996.00
1957,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,1216.00
1958,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,944.00
1959,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,837.00
1960,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,825.00
1961,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,896.00
1962,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,1093.00
1963,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,1159.00
1964,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,1212.00
1965,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,1728.00
1966,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,2292.00
1967,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,3023.00
1968,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,2385.00
1969,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,2566.00
1970,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,3095.00
1971,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,3464.00
1972,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,4368.00
1973,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,5464.00
1974,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,6445.00
1975,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,5763.00
1976,Canada,Overseas and the United States,"Workers, managerial and administrative",v742549,1.1.3,5655.00
1953,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,8845.00
1954,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,8350.00
1955,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,7159.00
