Ref_Date,GEO,Geographical classification,SALES,ADJUSTMENT,Vector,Coordinate,Value
1991/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,675529
1991/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,704893
1991/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,917291
1991/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,956240
1991/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1085873
1991/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1032392
1991/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,933937
1991/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1073695
1991/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1001933
1991/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1097727
1991/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1419882
1991/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2013933
1992/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,689021
1992/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,745693
1992/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,851128
1992/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1019755
1992/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1055497
1992/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1011524
1992/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,970347
1992/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1040038
1992/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1045815
1992/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1144955
1992/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1356262
1992/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2081821
1993/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,710598
1993/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,690785
1993/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,865137
1993/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1002578
1993/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1039352
1993/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,997228
1993/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,941655
1993/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,973888
1993/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1042437
1993/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1111524
1993/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1344676
1993/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2074038
1994/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,666161
1994/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,752560
1994/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,967582
1994/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,999691
1994/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1022975
1994/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1067381
1994/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,945816
1994/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1087707
1994/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1014377
1994/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1149620
1994/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1435457
1994/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2189631
1995/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,714635
1995/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,722854
1995/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,953009
1995/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1043974
1995/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1110195
1995/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1142457
1995/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1002857
1995/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1137864
1995/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1118589
1995/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1176277
1995/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1536861
1995/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2180058
1996/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,762857
1996/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,804443
1996/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,973739
1996/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1056567
1996/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1157534
1996/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1147332
1996/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1019487
1996/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1199652
1996/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1126079
1996/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1265400
1996/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1665810
1996/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2267930
1997/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,821164
1997/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,837186
1997/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1074407
1997/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1154208
1997/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1291636
1997/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1253570
1997/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1146250
1997/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1336324
1997/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1267912
1997/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1427217
1997/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1790141
1997/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2529327
1998/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,922001
1998/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,947062
1998/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1175997
1998/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1333749
1998/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1367620
1998/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1263729
1998/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1234089
1998/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1346105
1998/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1340188
1998/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1494769
1998/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1803985
1998/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2648980
1999/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,990098
