Ref_Date,GEO,VEHICLE,SALES,Vector,Coordinate,Value
2010,Canada,"Total, new motor vehicles",Units,v53846122,1.1.1,1584499.0
2011,Canada,"Total, new motor vehicles",Units,v53846122,1.1.1,1620577.0
2012,Canada,"Total, new motor vehicles",Units,v53846122,1.1.1,1716803.0
2013,Canada,"Total, new motor vehicles",Units,v53846122,1.1.1,1775861.0
2014,Canada,"Total, new motor vehicles",Units,v53846122,1.1.1,1890387.0
2015,Canada,"Total, new motor vehicles",Units,v53846122,1.1.1,1938554.0
2010,Canada,"Total, new motor vehicles","Dollars (x 1,000)",v53846123,1.1.2,52315609.0
2011,Canada,"Total, new motor vehicles","Dollars (x 1,000)",v53846123,1.1.2,54125933.0
2012,Canada,"Total, new motor vehicles","Dollars (x 1,000)",v53846123,1.1.2,56944638.0
2013,Canada,"Total, new motor vehicles","Dollars (x 1,000)",v53846123,1.1.2,60862652.0
2014,Canada,"Total, new motor vehicles","Dollars (x 1,000)",v53846123,1.1.2,66158618.0
2015,Canada,"Total, new motor vehicles","Dollars (x 1,000)",v53846123,1.1.2,69819540.0
2010,Canada,Passenger cars,Units,v53846124,1.2.1,710214.0
2011,Canada,Passenger cars,Units,v53846124,1.2.1,691079.0
2012,Canada,Passenger cars,Units,v53846124,1.2.1,759024.0
2013,Canada,Passenger cars,Units,v53846124,1.2.1,760924.0
2014,Canada,Passenger cars,Units,v53846124,1.2.1,760449.0
2015,Canada,Passenger cars,Units,v53846124,1.2.1,712322.0
2010,Canada,Passenger cars,"Dollars (x 1,000)",v53846125,1.2.2,18982437.0
2011,Canada,Passenger cars,"Dollars (x 1,000)",v53846125,1.2.2,18408412.0
2012,Canada,Passenger cars,"Dollars (x 1,000)",v53846125,1.2.2,20305823.0
2013,Canada,Passenger cars,"Dollars (x 1,000)",v53846125,1.2.2,20680836.0
2014,Canada,Passenger cars,"Dollars (x 1,000)",v53846125,1.2.2,20960311.0
2015,Canada,Passenger cars,"Dollars (x 1,000)",v53846125,1.2.2,20298067.0
2010,Canada,Trucks,Units,v53846126,1.3.1,874285.0
2011,Canada,Trucks,Units,v53846126,1.3.1,929498.0
2012,Canada,Trucks,Units,v53846126,1.3.1,957779.0
2013,Canada,Trucks,Units,v53846126,1.3.1,1014937.0
2014,Canada,Trucks,Units,v53846126,1.3.1,1129938.0
2015,Canada,Trucks,Units,v53846126,1.3.1,1226232.0
2010,Canada,Trucks,"Dollars (x 1,000)",v53846127,1.3.2,33333173.0
2011,Canada,Trucks,"Dollars (x 1,000)",v53846127,1.3.2,35717521.0
2012,Canada,Trucks,"Dollars (x 1,000)",v53846127,1.3.2,36638814.0
2013,Canada,Trucks,"Dollars (x 1,000)",v53846127,1.3.2,40181817.0
2014,Canada,Trucks,"Dollars (x 1,000)",v53846127,1.3.2,45198307.0
2015,Canada,Trucks,"Dollars (x 1,000)",v53846127,1.3.2,49521472.0
2010,Canada,Light trucks,Units,v53846128,1.4.1,847615.0
2011,Canada,Light trucks,Units,v53846128,1.4.1,894394.0
2012,Canada,Light trucks,Units,v53846128,1.4.1,917057.0
2013,Canada,Light trucks,Units,v53846128,1.4.1,979474.0
2014,Canada,Light trucks,Units,v53846128,1.4.1,1088401.0
2015,Canada,Light trucks,Units,v53846128,1.4.1,1185704.0
2010,Canada,Light trucks,"Dollars (x 1,000)",v53846129,1.4.2,29780756.0
2011,Canada,Light trucks,"Dollars (x 1,000)",v53846129,1.4.2,31655900.0
2012,Canada,Light trucks,"Dollars (x 1,000)",v53846129,1.4.2,32034451.0
2013,Canada,Light trucks,"Dollars (x 1,000)",v53846129,1.4.2,36207962.0
2014,Canada,Light trucks,"Dollars (x 1,000)",v53846129,1.4.2,40405917.0
2015,Canada,Light trucks,"Dollars (x 1,000)",v53846129,1.4.2,44957194.0
2010,Canada,Heavy trucks,Units,v53846130,1.5.1,23361.0
2011,Canada,Heavy trucks,Units,v53846130,1.5.1,32429.0
2012,Canada,Heavy trucks,Units,v53846130,1.5.1,37915.0
2013,Canada,Heavy trucks,Units,v53846130,1.5.1,32454.0
2014,Canada,Heavy trucks,Units,v53846130,1.5.1,37296.0
2015,Canada,Heavy trucks,Units,v53846130,1.5.1,37158.0
2010,Canada,Heavy trucks,"Dollars (x 1,000)",v53846131,1.5.2,2484812.0
2011,Canada,Heavy trucks,"Dollars (x 1,000)",v53846131,1.5.2,3422882.0
2012,Canada,Heavy trucks,"Dollars (x 1,000)",v53846131,1.5.2,4051643.0
2013,Canada,Heavy trucks,"Dollars (x 1,000)",v53846131,1.5.2,3435759.0
2014,Canada,Heavy trucks,"Dollars (x 1,000)",v53846131,1.5.2,4047369.0
2015,Canada,Heavy trucks,"Dollars (x 1,000)",v53846131,1.5.2,3957276.0
2010,Canada,Buses,Units,v53846132,1.6.1,3309.0
2011,Canada,Buses,Units,v53846132,1.6.1,2675.0
2012,Canada,Buses,Units,v53846132,1.6.1,2807.0
2013,Canada,Buses,Units,v53846132,1.6.1,3009.0
2014,Canada,Buses,Units,v53846132,1.6.1,4241.0
2015,Canada,Buses,Units,v53846132,1.6.1,3370.0
2010,Canada,Buses,"Dollars (x 1,000)",v53846133,1.6.2,1067605.0
2011,Canada,Buses,"Dollars (x 1,000)",v53846133,1.6.2,638739.0
2012,Canada,Buses,"Dollars (x 1,000)",v53846133,1.6.2,552721.0
2013,Canada,Buses,"Dollars (x 1,000)",v53846133,1.6.2,538096.0
