Ref_Date,GEO,ESTIMATE,WEIGHTS,ADJUSTMENT,Vector,Coordinate,Value
2004/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,29202.2
2004/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,29981.4
2004/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,29959.6
2004/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,29495.2
2004/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,29570.1
2004/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,29500.3
2004/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,29601.9
2004/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,29897.8
2004/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,30324.5
2004/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,30455.9
2004/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,30677.6
2004/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,30259.8
2005/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,30879.3
2005/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,31375.3
2005/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,30818.6
2005/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,30722.6
2005/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,30822.7
2005/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,31347.4
2005/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,31509.9
2005/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,31023.2
2005/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,30635.2
2005/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,31177.9
2005/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,31478.6
2005/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,31533.7
2006/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,32009.8
2006/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,32252.1
2006/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,32332.4
2006/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,32649.9
2006/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,32435.7
2006/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,32650.4
2006/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,33058.7
2006/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,32906.0
2006/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,32919.5
2006/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,32976.8
2006/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,33199.9
2006/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,33710.5
2007/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,33568.5
2007/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,33539.6
2007/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,33749.5
2007/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34245.4
2007/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34537.4
2007/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34288.1
2007/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34318.8
2007/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34852.1
2007/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34360.8
2007/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34457.6
2007/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35061.7
2007/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35616.9
2008/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35866.0
2008/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35546.0
2008/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35607.9
2008/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35901.0
2008/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35790.2
2008/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35708.6
2008/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35599.9
2008/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35531.4
