Ref_Date,GEO,INDUSTRY,ADJUSTMENTS,Vector,Coordinate,Value
2012,Canada,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256193,1.1.1,16958661.0
2013,Canada,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256193,1.1.1,19251176.0
2014,Canada,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256193,1.1.1,23011143.0
2012,Canada,Non-store retailers,"Total operating revenue (x 1,000)",v101256194,1.1.2,17346818.0
2013,Canada,Non-store retailers,"Total operating revenue (x 1,000)",v101256194,1.1.2,19764666.0
2014,Canada,Non-store retailers,"Total operating revenue (x 1,000)",v101256194,1.1.2,23453775.0
2012,Canada,Non-store retailers,"Opening inventory (x 1,000)",v101256195,1.1.3,850132.0
2013,Canada,Non-store retailers,"Opening inventory (x 1,000)",v101256195,1.1.3,991979.0
2014,Canada,Non-store retailers,"Opening inventory (x 1,000)",v101256195,1.1.3,1396078.0
2012,Canada,Non-store retailers,"Purchases (x 1,000)",v101256196,1.1.4,12878106.0
2013,Canada,Non-store retailers,"Purchases (x 1,000)",v101256196,1.1.4,14460512.0
2014,Canada,Non-store retailers,"Purchases (x 1,000)",v101256196,1.1.4,17325233.0
2012,Canada,Non-store retailers,"Closing inventory (x 1,000)",v101256197,1.1.5,924576.0
2013,Canada,Non-store retailers,"Closing inventory (x 1,000)",v101256197,1.1.5,1241966.0
2014,Canada,Non-store retailers,"Closing inventory (x 1,000)",v101256197,1.1.5,1372252.0
2012,Canada,Non-store retailers,"Cost of goods sold (x 1,000)",v101256198,1.1.6,12807556.0
2013,Canada,Non-store retailers,"Cost of goods sold (x 1,000)",v101256198,1.1.6,14210518.0
2014,Canada,Non-store retailers,"Cost of goods sold (x 1,000)",v101256198,1.1.6,17349058.0
2012,Canada,Non-store retailers,"Total labour remuneration (x 1,000)",v101256199,1.1.7,1581842.0
2013,Canada,Non-store retailers,"Total labour remuneration (x 1,000)",v101256199,1.1.7,1736607.0
2014,Canada,Non-store retailers,"Total labour remuneration (x 1,000)",v101256199,1.1.7,1966046.0
2012,Canada,Non-store retailers,"Total operating expenses (x 1,000)",v101256200,1.1.8,4145090.0
2013,Canada,Non-store retailers,"Total operating expenses (x 1,000)",v101256200,1.1.8,4704496.0
2014,Canada,Non-store retailers,"Total operating expenses (x 1,000)",v101256200,1.1.8,5295424.0
2012,Canada,Non-store retailers,Gross margin (percent),v101256201,1.1.9,26.2
2013,Canada,Non-store retailers,Gross margin (percent),v101256201,1.1.9,28.1
2014,Canada,Non-store retailers,Gross margin (percent),v101256201,1.1.9,26.0
2012,Canada,Non-store retailers,Operating profit margin (percent),v101256202,1.1.10,2.3
2013,Canada,Non-store retailers,Operating profit margin (percent),v101256202,1.1.10,4.3
2014,Canada,Non-store retailers,Operating profit margin (percent),v101256202,1.1.10,3.5
2012,Canada,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256203,1.2.1,5207874.0
2013,Canada,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256203,1.2.1,6645384.0
2014,Canada,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256203,1.2.1,8368988.0
2012,Canada,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256204,1.2.2,5426318.0
2013,Canada,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256204,1.2.2,6763230.0
2014,Canada,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256204,1.2.2,8506667.0
2012,Canada,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256205,1.2.3,476210.0
