Ref_Date,GEO,NAPCS,Vector,Coordinate,Value
2013,Canada,"Total commodities, retail trade commissions and miscellaneous services (x 1,000)",v101883719,1.1,19459388.0
2014,Canada,"Total commodities, retail trade commissions and miscellaneous services (x 1,000)",v101883719,1.1,23157527.0
2013,Canada,"Total commodities (x 1,000)",v101883720,1.2,19251176.0
2014,Canada,"Total commodities (x 1,000)",v101883720,1.2,23011143.0
2013,Canada,"Food and beverages (x 1,000)",v101883721,1.3,1486225.0
2014,Canada,"Food and beverages (x 1,000)",v101883721,1.3,1512141.0
2013,Canada,"Fresh meat and poultry (x 1,000)",v101883722,1.4,30700.0
2014,Canada,"Fresh meat and poultry (x 1,000)",v101883722,1.4,38016.0
2013,Canada,"Fresh fish and other seafood (x 1,000)",v101883723,1.5,3047.0
2014,Canada,"Fresh fish and other seafood (x 1,000)",v101883723,1.5,7822.0
2013,Canada,"Fresh fruit and vegetables (x 1,000)",v101883724,1.6,29319.0
2014,Canada,"Fresh fruit and vegetables (x 1,000)",v101883724,1.6,29836.0
2013,Canada,"Eggs and dairy products (except frozen desserts) (x 1,000)",v101883725,1.7,288651.0
2014,Canada,"Eggs and dairy products (except frozen desserts) (x 1,000)",v101883725,1.7,214029.0
2013,Canada,"Baked goods (except frozen products, cookies and crackers) (x 1,000)",v101883726,1.8,39399.0
2014,Canada,"Baked goods (except frozen products, cookies and crackers) (x 1,000)",v101883726,1.8,77390.0
2013,Canada,"Perishable prepared foods (including fresh sliced deli meats, prepared entrees and fresh pasta) (x 1,000)",v101883727,1.9,23595.0
2014,Canada,"Perishable prepared foods (including fresh sliced deli meats, prepared entrees and fresh pasta) (x 1,000)",v101883727,1.9,29734.0
2013,Canada,"Frozen food (x 1,000)",v101883728,1.10,80847.0
2014,Canada,"Frozen food (x 1,000)",v101883728,1.10,100676.0
2013,Canada,"Cookies, confectionery and snack foods (x 1,000)",v101883729,1.11,276604.0
2014,Canada,"Cookies, confectionery and snack foods (x 1,000)",v101883729,1.11,224435.0
