Ref_Date,GEO,NAICS,MOS,STORETYPE,Vector,Coordinate,Value
2012,Canada,Retail trade,In-store sales,"Total all stores (x 1,000)",v101269234,1.1.1.1,470474816.0
2013,Canada,Retail trade,In-store sales,"Total all stores (x 1,000)",v101269234,1.1.1.1,492068958.0
2014,Canada,Retail trade,In-store sales,"Total all stores (x 1,000)",v101269234,1.1.1.1,513747820.0
2012,Canada,Retail trade,In-store sales,"Chain stores (x 1,000)",v101269235,1.1.1.2,227165498.0
2013,Canada,Retail trade,In-store sales,"Chain stores (x 1,000)",v101269235,1.1.1.2,231388556.0
2014,Canada,Retail trade,In-store sales,"Chain stores (x 1,000)",v101269235,1.1.1.2,239947673.0
2012,Canada,Retail trade,In-store sales,"Non-chain stores (x 1,000)",v101269236,1.1.1.3,243309318.0
2013,Canada,Retail trade,In-store sales,"Non-chain stores (x 1,000)",v101269236,1.1.1.3,260680401.0
2014,Canada,Retail trade,In-store sales,"Non-chain stores (x 1,000)",v101269236,1.1.1.3,273800147.0
2012,Canada,Retail trade,E-commerce,"Total all stores (x 1,000)",v101269237,1.1.2.1,4586480.0
2013,Canada,Retail trade,E-commerce,"Total all stores (x 1,000)",v101269237,1.1.2.1,4837883.0
2014,Canada,Retail trade,E-commerce,"Total all stores (x 1,000)",v101269237,1.1.2.1,5391512.0
2012,Canada,Retail trade,E-commerce,"Chain stores (x 1,000)",v101269238,1.1.2.2,1227416.0
2013,Canada,Retail trade,E-commerce,"Chain stores (x 1,000)",v101269238,1.1.2.2,1702468.0
2014,Canada,Retail trade,E-commerce,"Chain stores (x 1,000)",v101269238,1.1.2.2,2076885.0
2012,Canada,Retail trade,E-commerce,"Non-chain stores (x 1,000)",v101269239,1.1.2.3,3359064.0
2013,Canada,Retail trade,E-commerce,"Non-chain stores (x 1,000)",v101269239,1.1.2.3,3135416.0
2014,Canada,Retail trade,E-commerce,"Non-chain stores (x 1,000)",v101269239,1.1.2.3,3314627.0
