Ref_Date,GEO,MOS,Vector,Coordinate,Value
2016/01,Canada,"Retail trade [44-453] (x 1,000)",v108795018,1.1,36415115
2016/02,Canada,"Retail trade [44-453] (x 1,000)",v108795018,1.1,35649450
2016/03,Canada,"Retail trade [44-453] (x 1,000)",v108795018,1.1,41403762
2016/04,Canada,"Retail trade [44-453] (x 1,000)",v108795018,1.1,44881587
2016/05,Canada,"Retail trade [44-453] (x 1,000)",v108795018,1.1,47337082
2016/06,Canada,"Retail trade [44-453] (x 1,000)",v108795018,1.1,47399117
2016/07,Canada,"Retail trade [44-453] (x 1,000)",v108795018,1.1,46321314
2016/08,Canada,"Retail trade [44-453] (x 1,000)",v108795018,1.1,46201453
2016/09,Canada,"Retail trade [44-453] (x 1,000)",v108795018,1.1,45327929
2016/01,Canada,"Electronic shopping and mail-order houses [45411] (x 1,000)",v108795019,1.2,683703
2016/02,Canada,"Electronic shopping and mail-order houses [45411] (x 1,000)",v108795019,1.2,635818
2016/03,Canada,"Electronic shopping and mail-order houses [45411] (x 1,000)",v108795019,1.2,711350
2016/04,Canada,"Electronic shopping and mail-order houses [45411] (x 1,000)",v108795019,1.2,717307
2016/05,Canada,"Electronic shopping and mail-order houses [45411] (x 1,000)",v108795019,1.2,706132
2016/06,Canada,"Electronic shopping and mail-order houses [45411] (x 1,000)",v108795019,1.2,704592
2016/07,Canada,"Electronic shopping and mail-order houses [45411] (x 1,000)",v108795019,1.2,682885
2016/08,Canada,"Electronic shopping and mail-order houses [45411] (x 1,000)",v108795019,1.2,698915
2016/09,Canada,"Electronic shopping and mail-order houses [45411] (x 1,000)",v108795019,1.2,721970
2016/01,Canada,"Retail E-commerce sales (x 1,000)",v108795020,1.3,865653
2016/02,Canada,"Retail E-commerce sales (x 1,000)",v108795020,1.3,791702
2016/03,Canada,"Retail E-commerce sales (x 1,000)",v108795020,1.3,884344
2016/04,Canada,"Retail E-commerce sales (x 1,000)",v108795020,1.3,932798
2016/05,Canada,"Retail E-commerce sales (x 1,000)",v108795020,1.3,927169
2016/06,Canada,"Retail E-commerce sales (x 1,000)",v108795020,1.3,931757
2016/07,Canada,"Retail E-commerce sales (x 1,000)",v108795020,1.3,893100
2016/08,Canada,"Retail E-commerce sales (x 1,000)",v108795020,1.3,932439
2016/09,Canada,"Retail E-commerce sales (x 1,000)",v108795020,1.3,958255
