Ref_Date,GEO,INDUSTRY,SUMMARY,Vector,Coordinate,Value
2012,Canada,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848503,1.1.1,54770.2
2013,Canada,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848503,1.1.1,57804.0
2014,Canada,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848503,1.1.1,60868.1
2012,Canada,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848504,1.1.2,52462.4
2013,Canada,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848504,1.1.2,55337.2
2014,Canada,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848504,1.1.2,58322.8
2012,Canada,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848505,1.1.3,17616.9
2013,Canada,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848505,1.1.3,18202.6
2014,Canada,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848505,1.1.3,18982.0
2012,Canada,Food services and drinking places,Operating profit margin (percent),v99848506,1.1.4,4.2
2013,Canada,Food services and drinking places,Operating profit margin (percent),v99848506,1.1.4,4.3
2014,Canada,Food services and drinking places,Operating profit margin (percent),v99848506,1.1.4,4.2
2012,Canada,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848507,1.2.1,23426.3
2013,Canada,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848507,1.2.1,25479.5
2014,Canada,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848507,1.2.1,26991.9
2012,Canada,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848508,1.2.2,22768.0
2013,Canada,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848508,1.2.2,24753.1
2014,Canada,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848508,1.2.2,26230.3
2012,Canada,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848509,1.2.3,7947.8
2013,Canada,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848509,1.2.3,8287.0
2014,Canada,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848509,1.2.3,8691.0
2012,Canada,Full-service restaurants,Operating profit margin (percent),v99848510,1.2.4,2.8
2013,Canada,Full-service restaurants,Operating profit margin (percent),v99848510,1.2.4,2.9
2014,Canada,Full-service restaurants,Operating profit margin (percent),v99848510,1.2.4,2.8
2012,Canada,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848511,1.3.1,23262.7
2013,Canada,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848511,1.3.1,24204.0
2014,Canada,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848511,1.3.1,25495.8
2012,Canada,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848512,1.3.2,22071.5
2013,Canada,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848512,1.3.2,22920.2
2014,Canada,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848512,1.3.2,24216.3
2012,Canada,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848513,1.3.3,6948.2
2013,Canada,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848513,1.3.3,7188.6
2014,Canada,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848513,1.3.3,7516.4
2012,Canada,Limited-service eating places,Operating profit margin (percent),v99848514,1.3.4,5.1
2013,Canada,Limited-service eating places,Operating profit margin (percent),v99848514,1.3.4,5.3
2014,Canada,Limited-service eating places,Operating profit margin (percent),v99848514,1.3.4,5.0
2012,Canada,Special food services,"Operating revenue (x 1,000,000)",v99848515,1.4.1,5169.3
2013,Canada,Special food services,"Operating revenue (x 1,000,000)",v99848515,1.4.1,5267.3
2014,Canada,Special food services,"Operating revenue (x 1,000,000)",v99848515,1.4.1,5530.5
2012,Canada,Special food services,"Operating expenses (x 1,000,000)",v99848516,1.4.2,4820.7
2013,Canada,Special food services,"Operating expenses (x 1,000,000)",v99848516,1.4.2,4902.4
2014,Canada,Special food services,"Operating expenses (x 1,000,000)",v99848516,1.4.2,5119.3
2012,Canada,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848517,1.4.3,1987.8
2013,Canada,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848517,1.4.3,2007.7
2014,Canada,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848517,1.4.3,2058.3
2012,Canada,Special food services,Operating profit margin (percent),v99848518,1.4.4,6.7
2013,Canada,Special food services,Operating profit margin (percent),v99848518,1.4.4,6.9
2014,Canada,Special food services,Operating profit margin (percent),v99848518,1.4.4,7.4
2012,Canada,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848519,1.5.1,2911.9
2013,Canada,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848519,1.5.1,2853.3
2014,Canada,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848519,1.5.1,2849.9
2012,Canada,Drinking places (alcoholic beverages),"Operating expenses (x 1,000,000)",v99848520,1.5.2,2802.3
