Ref_Date,GEO,NAICS,TYPEBU,DEV,Vector,Coordinate,Value
2003,Canada,Information and communication technology (ICT) service industries,All business units,Developer is mainly the business unit or the firm they are part of,v32396312,1.1.1.1,31.4
2003,Canada,Information and communication technology (ICT) service industries,All business units,Developer is the business unit in co-operation with other firms or organizations,v32396313,1.1.1.2,7.3
2003,Canada,Information and communication technology (ICT) service industries,All business units,Developer is mainly other firm(s) or organization(s),v32396314,1.1.1.3,5.4
2003,Canada,Information and communication technology (ICT) service industries,Innovative business units,Developer is mainly the business unit or the firm they are part of,v32396315,1.1.2.1,40.1
2003,Canada,Information and communication technology (ICT) service industries,Innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32396316,1.1.2.2,9.3
2003,Canada,Information and communication technology (ICT) service industries,Innovative business units,Developer is mainly other firm(s) or organization(s),v32396317,1.1.2.3,6.9
2003,Canada,Information and communication technology (ICT) service industries,Process innovative business units,Developer is mainly the business unit or the firm they are part of,v32396318,1.1.3.1,71.2
2003,Canada,Information and communication technology (ICT) service industries,Process innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32396319,1.1.3.2,16.5
2003,Canada,Information and communication technology (ICT) service industries,Process innovative business units,Developer is mainly other firm(s) or organization(s),v32396320,1.1.3.3,12.3
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,All business units,Developer is mainly the business unit or the firm they are part of,v32396321,1.2.1.1,25.9
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,All business units,Developer is the business unit in co-operation with other firms or organizations,v32396322,1.2.1.2,8.3
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,All business units,Developer is mainly other firm(s) or organization(s),v32396323,1.2.1.3,3.1
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Innovative business units,Developer is mainly the business unit or the firm they are part of,v32396324,1.2.2.1,39.8
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32396325,1.2.2.2,12.7
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Innovative business units,Developer is mainly other firm(s) or organization(s),v32396326,1.2.2.3,4.7
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Process innovative business units,Developer is mainly the business unit or the firm they are part of,v32396327,1.2.3.1,69.6
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Process innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32396328,1.2.3.2,22.2
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Process innovative business units,Developer is mainly other firm(s) or organization(s),v32396329,1.2.3.3,8.2
2003,Canada,Office and store machinery and equipment wholesalers-distributors,All business units,Developer is mainly the business unit or the firm they are part of,v32396330,1.3.1.1,27.6
2003,Canada,Office and store machinery and equipment wholesalers-distributors,All business units,Developer is the business unit in co-operation with other firms or organizations,v32396331,1.3.1.2,11.9
2003,Canada,Office and store machinery and equipment wholesalers-distributors,All business units,Developer is mainly other firm(s) or organization(s),v32396332,1.3.1.3,3.2
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Innovative business units,Developer is mainly the business unit or the firm they are part of,v32396333,1.3.2.1,44.6
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32396334,1.3.2.2,19.3
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Innovative business units,Developer is mainly other firm(s) or organization(s),v32396335,1.3.2.3,5.2
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Process innovative business units,Developer is mainly the business unit or the firm they are part of,v32396336,1.3.3.1,64.5
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Process innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32396337,1.3.3.2,27.9
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Process innovative business units,Developer is mainly other firm(s) or organization(s),v32396338,1.3.3.3,7.6
2003,Canada,Software publishers,All business units,Developer is mainly the business unit or the firm they are part of,v32396339,1.4.1.1,46.0
2003,Canada,Software publishers,All business units,Developer is the business unit in co-operation with other firms or organizations,v32396340,1.4.1.2,8.6
2003,Canada,Software publishers,All business units,Developer is mainly other firm(s) or organization(s),v32396341,1.4.1.3,4.8
