Ref_Date,GEOGRAPHY,INDUSTRY,SUMMARY,Vector,Coordinate,Value
2012,Canada,Employment services,"Operating revenue (x 1,000,000)",v99450517,1.1.1,12391.8
2013,Canada,Employment services,"Operating revenue (x 1,000,000)",v99450517,1.1.1,12684.0
2014,Canada,Employment services,"Operating revenue (x 1,000,000)",v99450517,1.1.1,13297.6
2012,Canada,Employment services,"Operating expenses (x 1,000,000)",v99450518,1.1.2,11874.9
2013,Canada,Employment services,"Operating expenses (x 1,000,000)",v99450518,1.1.2,12252.0
2014,Canada,Employment services,"Operating expenses (x 1,000,000)",v99450518,1.1.2,12813.6
2012,Canada,Employment services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99450519,1.1.3,7609.3
2013,Canada,Employment services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99450519,1.1.3,7977.1
2014,Canada,Employment services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99450519,1.1.3,8166.5
2012,Canada,Employment services,Operating profit margin (percent),v99450520,1.1.4,4.2
2013,Canada,Employment services,Operating profit margin (percent),v99450520,1.1.4,3.4
2014,Canada,Employment services,Operating profit margin (percent),v99450520,1.1.4,3.6
2012,Newfoundland and Labrador,Employment services,"Operating revenue (x 1,000,000)",v99450521,2.1.1,170.6
2013,Newfoundland and Labrador,Employment services,"Operating revenue (x 1,000,000)",v99450521,2.1.1,186.1
2014,Newfoundland and Labrador,Employment services,"Operating revenue (x 1,000,000)",v99450521,2.1.1,145.4
2012,Newfoundland and Labrador,Employment services,"Operating expenses (x 1,000,000)",v99450522,2.1.2,166.4
2013,Newfoundland and Labrador,Employment services,"Operating expenses (x 1,000,000)",v99450522,2.1.2,179.3
2014,Newfoundland and Labrador,Employment services,"Operating expenses (x 1,000,000)",v99450522,2.1.2,135.6
2012,Newfoundland and Labrador,Employment services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99450523,2.1.3,111.1
2013,Newfoundland and Labrador,Employment services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99450523,2.1.3,136.0
2014,Newfoundland and Labrador,Employment services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99450523,2.1.3,96.1
2012,Newfoundland and Labrador,Employment services,Operating profit margin (percent),v99450524,2.1.4,2.5
2013,Newfoundland and Labrador,Employment services,Operating profit margin (percent),v99450524,2.1.4,3.7
