Ref_Date,GEO,NAICS,EXPENDITURE,Vector,Coordinate,Value
2013,Canada,Motion picture and video distribution,Total operating expense,v96730252,1.1.1,100.0
2013,Canada,Motion picture and video distribution,Cost of goods sold,v96730253,1.1.2,27.1
2013,Canada,Motion picture and video distribution,"Salaries, wages, commissions and benefits",v96730254,1.1.3,6.5
2013,Canada,Motion picture and video distribution,Subcontracts,v96730255,1.1.4,0.3
2013,Canada,Motion picture and video distribution,Research and development fees,v96730256,1.1.5,0.0
2013,Canada,Motion picture and video distribution,Professional and business fees,v96730257,1.1.6,1.0
2013,Canada,Motion picture and video distribution,Utilities,v96730258,1.1.7,0.3
2013,Canada,Motion picture and video distribution,Office and computer related expenses,v96730259,1.1.8,0.3
2013,Canada,Motion picture and video distribution,"Telephone, Internet and other telecommunication",v96730260,1.1.9,x
2013,Canada,Motion picture and video distribution,"Business taxes, licences and permits",v96730261,1.1.10,0.1
2013,Canada,Motion picture and video distribution,"Royalties, franchise fees, and memberships",v96730262,1.1.11,32.1
2013,Canada,Motion picture and video distribution,Crown charges,v96730263,1.1.12,x
2013,Canada,Motion picture and video distribution,Rental and leasing,v96730264,1.1.13,0.7
2013,Canada,Motion picture and video distribution,Repair and maintenance,v96730265,1.1.14,0.1
2013,Canada,Motion picture and video distribution,Amortization and depreciation,v96730266,1.1.15,2.3
2013,Canada,Motion picture and video distribution,Insurance,v96730267,1.1.16,0.1
2013,Canada,Motion picture and video distribution,"Advertising, marketing, promotions, meals and entertainment",v96730268,1.1.17,20.7
2013,Canada,Motion picture and video distribution,"Travel, meetings and conventions",v96730269,1.1.18,0.4
2013,Canada,Motion picture and video distribution,Financial services,v96730270,1.1.19,0.1
2013,Canada,Motion picture and video distribution,Other non-production-related costs and expenses,v96730271,1.1.20,0.4
2013,Canada,Motion picture and video distribution,All other cost and expenses,v96730272,1.1.21,7.5
