Ref_Date,GEO,NAICS,ACTIVITY,Vector,Coordinate,Value
2013,Canada,Periodical publishers,Total Sales,v96885793,1.1.1,100.0
2015,Canada,Periodical publishers,Total Sales,v96885793,1.1.1,100.0
2013,Canada,Periodical publishers,Advertising sales,v96885794,1.1.2,61.8
2015,Canada,Periodical publishers,Advertising sales,v96885794,1.1.2,56.5
2013,Canada,Periodical publishers,Circulation sales,v96885795,1.1.3,27.9
2015,Canada,Periodical publishers,Circulation sales,v96885795,1.1.3,31.6
2013,Canada,Periodical publishers,Custom publishing sales,v96885796,1.1.4,3.9
2015,Canada,Periodical publishers,Custom publishing sales,v96885796,1.1.4,2.7
2013,Canada,Periodical publishers,Distribution services,v96885797,1.1.5,x
2015,Canada,Periodical publishers,Distribution services,v96885797,1.1.5,0.4
2013,Canada,Periodical publishers,Custom printing services,v96885798,1.1.6,x
2015,Canada,Periodical publishers,Custom printing services,v96885798,1.1.6,0.8
2013,Canada,Periodical publishers,"Event, conference and trade show",v96885799,1.1.7,1.7
2015,Canada,Periodical publishers,"Event, conference and trade show",v96885799,1.1.7,2.4
2013,Canada,Periodical publishers,Other sales,v96885800,1.1.8,3.3
2015,Canada,Periodical publishers,Other sales,v96885800,1.1.8,5.7
