Ref_Date,GEO,NAICS,DIST,Vector,Coordinate,Value
2013,Canada,Periodical publishers,General interest periodicals,v96885813,1.1.1,84.8
2015,Canada,Periodical publishers,General interest periodicals,v96885813,1.1.1,81.0
2013,Canada,Periodical publishers,Business and trade periodicals,v96885814,1.1.2,15.2
2015,Canada,Periodical publishers,Business and trade periodicals,v96885814,1.1.2,19.0
2013,Atlantic provinces,Periodical publishers,General interest periodicals,v96885815,2.1.1,85.1
2015,Atlantic provinces,Periodical publishers,General interest periodicals,v96885815,2.1.1,81.1
2013,Atlantic provinces,Periodical publishers,Business and trade periodicals,v96885816,2.1.2,14.9
2015,Atlantic provinces,Periodical publishers,Business and trade periodicals,v96885816,2.1.2,18.9
2013,Quebec,Periodical publishers,General interest periodicals,v96885817,3.1.1,94.1
2015,Quebec,Periodical publishers,General interest periodicals,v96885817,3.1.1,95.3
2013,Quebec,Periodical publishers,Business and trade periodicals,v96885818,3.1.2,5.9
2015,Quebec,Periodical publishers,Business and trade periodicals,v96885818,3.1.2,4.7
2013,Ontario,Periodical publishers,General interest periodicals,v96885819,4.1.1,83.5
2015,Ontario,Periodical publishers,General interest periodicals,v96885819,4.1.1,78.4
2013,Ontario,Periodical publishers,Business and trade periodicals,v96885820,4.1.2,16.5
2015,Ontario,Periodical publishers,Business and trade periodicals,v96885820,4.1.2,21.6
2013,Prairie provinces,Periodical publishers,General interest periodicals,v96885821,5.1.1,68.4
2015,Prairie provinces,Periodical publishers,General interest periodicals,v96885821,5.1.1,57.2
2013,Prairie provinces,Periodical publishers,Business and trade periodicals,v96885822,5.1.2,31.6
2015,Prairie provinces,Periodical publishers,Business and trade periodicals,v96885822,5.1.2,42.8
2013,British Columbia and Territories,Periodical publishers,General interest periodicals,v96885823,6.1.1,89.7
2015,British Columbia and Territories,Periodical publishers,General interest periodicals,v96885823,6.1.1,82.7
2013,British Columbia and Territories,Periodical publishers,Business and trade periodicals,v96885824,6.1.2,10.3
2015,British Columbia and Territories,Periodical publishers,Business and trade periodicals,v96885824,6.1.2,17.3
