Ref_Date,GEO,NAICS,INDPROF,Vector,Coordinate,Value
2013,Canada,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863802,1.1.1,716.2
2015,Canada,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863802,1.1.1,879.9
2013,Canada,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863803,1.1.2,594.2
2015,Canada,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863803,1.1.2,708.2
2013,Canada,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863804,1.1.3,122.1
2015,Canada,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863804,1.1.3,171.7
2013,Atlantic provinces,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863805,2.1.1,3.9
2015,Atlantic provinces,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863805,2.1.1,2.8
2013,Atlantic provinces,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863806,2.1.2,3.9
2015,Atlantic provinces,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863806,2.1.2,x
2013,Atlantic provinces,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863807,2.1.3,0.0
2015,Atlantic provinces,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863807,2.1.3,x
2013,Quebec,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863808,3.1.1,201.8
2015,Quebec,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863808,3.1.1,277.2
2013,Quebec,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863809,3.1.2,180.5
2015,Quebec,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863809,3.1.2,247.4
2013,Quebec,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863810,3.1.3,21.3
2015,Quebec,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863810,3.1.3,29.8
2013,Ontario,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863811,4.1.1,276.5
2015,Ontario,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863811,4.1.1,297.3
2013,Ontario,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863812,4.1.2,220.6
2015,Ontario,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863812,4.1.2,x
2013,Ontario,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863813,4.1.3,55.9
2015,Ontario,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863813,4.1.3,x
2013,Prairie provinces,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863814,5.1.1,8.7
2015,Prairie provinces,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863814,5.1.1,12.1
2013,Prairie provinces,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863815,5.1.2,8.6
2015,Prairie provinces,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863815,5.1.2,x
2013,Prairie provinces,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863816,5.1.3,0.1
2015,Prairie provinces,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863816,5.1.3,x
2013,British Columbia and Territories,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863817,6.1.1,225.3
2015,British Columbia and Territories,"Film, television and video post-production","Total domestic and foreign sales (x 1,000,000)",v97863817,6.1.1,290.5
2013,British Columbia and Territories,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863818,6.1.2,180.5
2015,British Columbia and Territories,"Film, television and video post-production","domestic sales (x 1,000,000)",v97863818,6.1.2,225.6
2013,British Columbia and Territories,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863819,6.1.3,44.8
2015,British Columbia and Territories,"Film, television and video post-production","foreign sales (x 1,000,000)",v97863819,6.1.3,64.9
