Ref_Date,GEO,NAICS,SALES,Vector,Coordinate,Value
2013,Canada,Spectator sports,Total sales of goods and services,v106572918,1.1.1,100.0
2014,Canada,Spectator sports,Total sales of goods and services,v106572918,1.1.1,100.0
2013,Canada,Spectator sports,Admissions to live performances and events presented by this business,v106572919,1.1.2,41.1
2014,Canada,Spectator sports,Admissions to live performances and events presented by this business,v106572919,1.1.2,44.2
2013,Canada,Spectator sports,Facility rental revenue,v106572920,1.1.3,4.9
2014,Canada,Spectator sports,Facility rental revenue,v106572920,1.1.3,5.9
2013,Canada,Spectator sports,Rental revenue of traveller accommodation,v106572921,1.1.4,x
2014,Canada,Spectator sports,Rental revenue of traveller accommodation,v106572921,1.1.4,0.4
2013,Canada,Spectator sports,Contract production,v106572922,1.1.5,0.9
2014,Canada,Spectator sports,Contract production,v106572922,1.1.5,2.5
2013,Canada,Spectator sports,"Professional fees and commissions for career management and representation services for artistis, athletes, entertainers and others",v106572923,1.1.6,1.0
2014,Canada,Spectator sports,"Professional fees and commissions for career management and representation services for artistis, athletes, entertainers and others",v106572923,1.1.6,0.5
2013,Canada,Spectator sports,Event management services,v106572924,1.1.7,x
2014,Canada,Spectator sports,Event management services,v106572924,1.1.7,0.1
2013,Canada,Spectator sports,Technical artistic services,v106572925,1.1.8,x
2014,Canada,Spectator sports,Technical artistic services,v106572925,1.1.8,0.1
2013,Canada,Spectator sports,Receipts from gambling,v106572926,1.1.9,11.3
2014,Canada,Spectator sports,Receipts from gambling,v106572926,1.1.9,8.1
2013,Canada,Spectator sports,Advertising revenue,v106572927,1.1.10,14.4
2014,Canada,Spectator sports,Advertising revenue,v106572927,1.1.10,11.4
2013,Canada,Spectator sports,Sales of food and non-alcoholic beverages,v106572928,1.1.11,5.7
2014,Canada,Spectator sports,Sales of food and non-alcoholic beverages,v106572928,1.1.11,6.3
2013,Canada,Spectator sports,Sales of alcoholic beverages,v106572929,1.1.12,2.4
2014,Canada,Spectator sports,Sales of alcoholic beverages,v106572929,1.1.12,1.9
2013,Canada,Spectator sports,Sales of merchandise,v106572930,1.1.13,3.9
2014,Canada,Spectator sports,Sales of merchandise,v106572930,1.1.13,3.5
2013,Canada,Spectator sports,Other sales of goods and services,v106572931,1.1.14,14.3
2014,Canada,Spectator sports,Other sales of goods and services,v106572931,1.1.14,15.1
