Ref_Date,GEO,AG,SEX,CA,STA,Vector,Coordinate,Value
2012,Canada,"Total, 15 years and over",Both sexes,"Total, hunted, fished or trapped in the last year",Number of persons,v98405081,1.1.1.1.1,41270.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, hunted, fished or trapped in the last year",Percent,v98405082,1.1.1.1.2,100.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98405083,1.1.1.1.3,100.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98405084,1.1.1.1.4,100.0
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped in the last year",Number of persons,v98405085,1.1.1.2.1,24320.0
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped in the last year",Percent,v98405086,1.1.1.2.2,58.9
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98405087,1.1.1.2.3,55.6
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98405088,1.1.1.2.4,62.2
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped at least once a week during the season",Number of persons,v98405089,1.1.1.3.1,12390.0
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped at least once a week during the season",Percent,v98405090,1.1.1.3.2,30.0
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped at least once a week during the season",Low 95% confidence interval (percent),v98405091,1.1.1.3.3,47.7
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped at least once a week during the season",High 95% confidence interval (percent),v98405092,1.1.1.3.4,54.2
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped less than once a week but at least once a month during the season",Number of persons,v98405093,1.1.1.4.1,8140.0
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped less than once a week but at least once a month during the season",Percent,v98405094,1.1.1.4.2,19.7
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped less than once a week but at least once a month during the season",Low 95% confidence interval (percent),v98405095,1.1.1.4.3,30.1
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped less than once a week but at least once a month during the season",High 95% confidence interval (percent),v98405096,1.1.1.4.4,37.0
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped at least once during the season but not at all in the last month",Number of persons,v98405097,1.1.1.5.1,3690.0
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped at least once during the season but not at all in the last month",Percent,v98405098,1.1.1.5.2,8.9
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped at least once during the season but not at all in the last month",Low 95% confidence interval (percent),v98405099,1.1.1.5.3,12.6
2012,Canada,"Total, 15 years and over",Both sexes,"Hunted, fished or trapped at least once during the season but not at all in the last month",High 95% confidence interval (percent),v98405100,1.1.1.5.4,18.3
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified how often hunted, fished or trapped in the last year",Number of persons,v98405101,1.1.1.6.1,100.0
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified how often hunted, fished or trapped in the last year",Percent,v98405102,1.1.1.6.2,0.2
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified how often hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98405103,1.1.1.6.3,0.2
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified how often hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98405104,1.1.1.6.4,0.7
2012,Canada,"Total, 15 years and over",Both sexes,"Did not hunt, fish or trap in the last year",Number of persons,v98405105,1.1.1.7.1,14770.0
2012,Canada,"Total, 15 years and over",Both sexes,"Did not hunt, fish or trap in the last year",Percent,v98405106,1.1.1.7.2,35.8
