Ref_Date,GEO,AGE,SEX,HEALTH,STATS,Vector,Coordinate,Value
2001,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",Number of persons,v97099602,1.1.1.1.1,39490.0
2006,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",Number of persons,v97099602,1.1.1.1.1,47060.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",Number of persons,v97099602,1.1.1.1.1,52980.0
2001,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",Percent,v97099603,1.1.1.1.2,100.0
2006,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",Percent,v97099603,1.1.1.1.2,100.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",Percent,v97099603,1.1.1.1.2,100.0
2001,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",Low 95% confidence interval (percent),v97099604,1.1.1.1.3,100.0
2006,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",Low 95% confidence interval (percent),v97099604,1.1.1.1.3,100.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",Low 95% confidence interval (percent),v97099604,1.1.1.1.3,100.0
2001,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",High 95% confidence interval (percent),v97099605,1.1.1.1.4,100.0
2006,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",High 95% confidence interval (percent),v97099605,1.1.1.1.4,100.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, perceived general health",High 95% confidence interval (percent),v97099605,1.1.1.1.4,100.0
2001,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,Number of persons,v97099606,1.1.1.2.1,24730.0
2006,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,Number of persons,v97099606,1.1.1.2.1,26320.0
2012,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,Number of persons,v97099606,1.1.1.2.1,26190.0
2001,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,Percent,v97099607,1.1.1.2.2,62.6
2006,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,Percent,v97099607,1.1.1.2.2,55.9
2012,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,Percent,v97099607,1.1.1.2.2,49.4
2001,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97099608,1.1.1.2.3,60.9
2006,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97099608,1.1.1.2.3,54.2
2012,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97099608,1.1.1.2.3,47.4
2001,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,High 95% confidence interval (percent),v97099609,1.1.1.2.4,64.3
2006,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,High 95% confidence interval (percent),v97099609,1.1.1.2.4,57.6
2012,Canada,"Total, 6 years and over",Both sexes,Excellent or very good perceived general health,High 95% confidence interval (percent),v97099609,1.1.1.2.4,51.5
2001,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,Number of persons,v97099610,1.1.1.3.1,13760.0
2006,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,Number of persons,v97099610,1.1.1.3.1,11990.0
2012,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,Number of persons,v97099610,1.1.1.3.1,12270.0
