Ref_Date,GEO,AGE,SEX,SMOKING,STATS,Vector,Coordinate,Value
2012,Canada,"Total, 15 years and over",Both sexes,"Total, smoking status",Number of persons,v97163322,1.1.1.1.1,41270.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, smoking status",Percent,v97163323,1.1.1.1.2,100.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, smoking status",Low 95% confidence interval (percent),v97163324,1.1.1.1.3,100.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, smoking status",High 95% confidence interval (percent),v97163325,1.1.1.1.4,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Current daily or occasional smoker,Number of persons,v97163326,1.1.1.2.1,23730.0
2012,Canada,"Total, 15 years and over",Both sexes,Current daily or occasional smoker,Percent,v97163327,1.1.1.2.2,57.5
2012,Canada,"Total, 15 years and over",Both sexes,Current daily or occasional smoker,Low 95% confidence interval (percent),v97163328,1.1.1.2.3,54.9
2012,Canada,"Total, 15 years and over",Both sexes,Current daily or occasional smoker,High 95% confidence interval (percent),v97163329,1.1.1.2.4,60.1
2012,Canada,"Total, 15 years and over",Both sexes,Daily smoker,Number of persons,v97163330,1.1.1.3.1,20090.0
2012,Canada,"Total, 15 years and over",Both sexes,Daily smoker,Percent,v97163331,1.1.1.3.2,48.7
2012,Canada,"Total, 15 years and over",Both sexes,Daily smoker,Low 95% confidence interval (percent),v97163332,1.1.1.3.3,46.2
2012,Canada,"Total, 15 years and over",Both sexes,Daily smoker,High 95% confidence interval (percent),v97163333,1.1.1.3.4,51.2
2012,Canada,"Total, 15 years and over",Both sexes,Occasional smoker,Number of persons,v97163334,1.1.1.4.1,3640.0
2012,Canada,"Total, 15 years and over",Both sexes,Occasional smoker,Percent,v97163335,1.1.1.4.2,8.8
2012,Canada,"Total, 15 years and over",Both sexes,Occasional smoker,Low 95% confidence interval (percent),v97163336,1.1.1.4.3,7.6
2012,Canada,"Total, 15 years and over",Both sexes,Occasional smoker,High 95% confidence interval (percent),v97163337,1.1.1.4.4,10.2
2012,Canada,"Total, 15 years and over",Both sexes,Non-smoker,Number of persons,v97163338,1.1.1.5.1,14750.0
2012,Canada,"Total, 15 years and over",Both sexes,Non-smoker,Percent,v97163339,1.1.1.5.2,35.7
2012,Canada,"Total, 15 years and over",Both sexes,Non-smoker,Low 95% confidence interval (percent),v97163340,1.1.1.5.3,33.2
2012,Canada,"Total, 15 years and over",Both sexes,Non-smoker,High 95% confidence interval (percent),v97163341,1.1.1.5.4,38.3
2012,Canada,"Total, 15 years and over",Both sexes,Exposed to second-hand smoke at home,Number of persons,v97163342,1.1.1.6.1,1970.0
2012,Canada,"Total, 15 years and over",Both sexes,Exposed to second-hand smoke at home,Percent,v97163343,1.1.1.6.2,4.8
2012,Canada,"Total, 15 years and over",Both sexes,Exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163344,1.1.1.6.3,3.9
2012,Canada,"Total, 15 years and over",Both sexes,Exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163345,1.1.1.6.4,5.8
2012,Canada,"Total, 15 years and over",Both sexes,Not exposed to second-hand smoke at home,Number of persons,v97163346,1.1.1.7.1,12770.0
2012,Canada,"Total, 15 years and over",Both sexes,Not exposed to second-hand smoke at home,Percent,v97163347,1.1.1.7.2,30.9
