Ref_Date,GEO,AGE,SEX,HOUSEHOLD,FOOD,STATS,Vector,Coordinate,Value
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household","Total, food security",Number of persons,v97166346,1.1.1.1.1.1,52980.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household","Total, food security",Percent,v97166347,1.1.1.1.1.2,100.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household","Total, food security",Low 95% confidence interval (percent),v97166348,1.1.1.1.1.3,100.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household","Total, food security",High 95% confidence interval (percent),v97166349,1.1.1.1.1.4,100.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",High or marginal food security,Number of persons,v97166350,1.1.1.1.2.1,28070.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",High or marginal food security,Percent,v97166351,1.1.1.1.2.2,53.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",High or marginal food security,Low 95% confidence interval (percent),v97166352,1.1.1.1.2.3,50.8
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",High or marginal food security,High 95% confidence interval (percent),v97166353,1.1.1.1.2.4,55.1
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Low food security,Number of persons,v97166354,1.1.1.1.3.1,10930.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Low food security,Percent,v97166355,1.1.1.1.3.2,20.6
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Low food security,Low 95% confidence interval (percent),v97166356,1.1.1.1.3.3,19.1
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Low food security,High 95% confidence interval (percent),v97166357,1.1.1.1.3.4,22.2
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Very low food security,Number of persons,v97166358,1.1.1.1.4.1,9210.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Very low food security,Percent,v97166359,1.1.1.1.4.2,17.4
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Very low food security,Low 95% confidence interval (percent),v97166360,1.1.1.1.4.3,15.8
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Very low food security,High 95% confidence interval (percent),v97166361,1.1.1.1.4.4,19.1
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Food security not specified,Number of persons,v97166362,1.1.1.1.5.1,4770.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Food security not specified,Percent,v97166363,1.1.1.1.5.2,9.0
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Food security not specified,Low 95% confidence interval (percent),v97166364,1.1.1.1.5.3,7.9
2012,Canada,"Total, 6 years and over",Both sexes,"Total, number of persons in the household",Food security not specified,High 95% confidence interval (percent),v97166365,1.1.1.1.5.4,10.2
2012,Canada,"Total, 6 years and over",Both sexes,One person,"Total, food security",Number of persons,v97166366,1.1.1.2.1.1,3430.0
2012,Canada,"Total, 6 years and over",Both sexes,One person,"Total, food security",Percent,v97166367,1.1.1.2.1.2,100.0
2012,Canada,"Total, 6 years and over",Both sexes,One person,"Total, food security",Low 95% confidence interval (percent),v97166368,1.1.1.2.1.3,100.0
