Ref_Date,GEO,AG,SEX,PTOHSD,PE,STA,Vector,Coordinate,Value
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma","Total, postsecondary education",Number of persons,v107288180,1.1.1.1.1.1,36880.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma","Total, postsecondary education",Percent,v107288181,1.1.1.1.1.2,100.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma","Total, postsecondary education",Low 95% confidence interval (percent),v107288182,1.1.1.1.1.3,100.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma","Total, postsecondary education",High 95% confidence interval (percent),v107288183,1.1.1.1.1.4,100.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Has received postsecondary education,Number of persons,v107288184,1.1.1.1.2.1,14130.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Has received postsecondary education,Percent,v107288185,1.1.1.1.2.2,38.3
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Has received postsecondary education,Low 95% confidence interval (percent),v107288186,1.1.1.1.2.3,35.6
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Has received postsecondary education,High 95% confidence interval (percent),v107288187,1.1.1.1.2.4,41.1
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Has not received any postsecondary education,Number of persons,v107288188,1.1.1.1.3.1,20220.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Has not received any postsecondary education,Percent,v107288189,1.1.1.1.3.2,54.8
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Has not received any postsecondary education,Low 95% confidence interval (percent),v107288190,1.1.1.1.3.3,52.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Has not received any postsecondary education,High 95% confidence interval (percent),v107288191,1.1.1.1.3.4,57.6
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Not specified if received any postsecondary education,Number of persons,v107288192,1.1.1.1.4.1,2540.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Not specified if received any postsecondary education,Percent,v107288193,1.1.1.1.4.2,6.9
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Not specified if received any postsecondary education,Low 95% confidence interval (percent),v107288194,1.1.1.1.4.3,5.6
